Orthogroup	MN803438.1	AY779031.1
OG0000000	MN803438.1_00124	AY779031.1_00034
OG0000001	MN803438.1_00101, MN803438.1_00056	AY779031.1_00008
OG0000002	MN803438.1_00023	AY779031.1_00007
OG0000003	MN803438.1_00113	AY779031.1_00015, AY779031.1_00016
OG0000004	MN803438.1_00104	AY779031.1_00121
OG0000005	MN803438.1_00071	AY779031.1_00103
OG0000006	MN803438.1_00142	AY779031.1_00083
OG0000007	MN803438.1_00027	AY779031.1_00098
OG0000008	MN803438.1_00106	AY779031.1_00033
OG0000009	MN803438.1_00109	AY779031.1_00122
OG0000011	MN803438.1_00049	AY779031.1_00068
OG0000012	MN803438.1_00128	AY779031.1_00023
OG0000013	MN803438.1_00007	AY779031.1_00061
OG0000014	MN803438.1_00070	AY779031.1_00129
OG0000015	MN803438.1_00046	AY779031.1_00130
OG0000016	MN803438.1_00122	AY779031.1_00095
OG0000017	MN803438.1_00035	AY779031.1_00037
OG0000018	MN803438.1_00051	AY779031.1_00116
OG0000019	MN803438.1_00097	AY779031.1_00094
OG0000020	MN803438.1_00068	AY779031.1_00035
OG0000021	MN803438.1_00089	AY779031.1_00005
OG0000022	MN803438.1_00013	AY779031.1_00039
OG0000023	MN803438.1_00077	AY779031.1_00049
OG0000026	MN803438.1_00126	AY779031.1_00119
OG0000027	MN803438.1_00037	AY779031.1_00096
OG0000028	MN803438.1_00054	AY779031.1_00052
OG0000031	MN803438.1_00145	AY779031.1_00006
