HOG	OG	Gene Tree Parent Clade	23043610003	23043610005	AB104413	AF303741	AF371960	AP017456	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT781098	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
N69.HOG0000000	OG0000000	n0											HF920633.1_00044 hypothetical protein			KF938901.1_00126 DNA-directed RNA polymerase subunit 1																																																										
N69.HOG0000001	OG0000001	n0											HF920633.1_00069 hypothetical protein			KF938901.1_00080 hypothetical protein																																																										
N69.HOG0000002	OG0000002	n0											HF920633.1_00127 hypothetical protein			KF938901.1_00005 hypothetical protein																																																										
N69.HOG0000003	OG0000003	n0											HF920633.1_00043 hypothetical protein			KF938901.1_00067 hypothetical protein																																																										
N69.HOG0000004	OG0000004	n0											HF920633.1_00097 hypothetical protein			KF938901.1_00124 hypothetical protein																																																										
N69.HOG0000005	OG0000005	n0											HF920633.1_00073 Major capsid protein			KF938901.1_00044 Major capsid protein																																																										
N69.HOG0000006	OG0000006	n0											HF920633.1_00001 hypothetical protein			KF938901.1_00054 hypothetical protein																																																										
N69.HOG0000007	OG0000007	n0											HF920633.1_00080 hypothetical protein			KF938901.1_00047 hypothetical protein																																																										
N69.HOG0000008	OG0000008	n0											HF920633.1_00158 hypothetical protein			KF938901.1_00123 hypothetical protein																																																										
N69.HOG0000009	OG0000009	n0											HF920633.1_00175 DNA-directed RNA polymerase subunit 2			KF938901.1_00022 DNA-directed RNA polymerase subunit 2, KF938901.1_00023 DNA-directed RNA polymerase subunit 2																																																										
N69.HOG0000010	OG0000010	n0											HF920633.1_00067 hypothetical protein			KF938901.1_00060 hypothetical protein																																																										
N69.HOG0000011	OG0000011	n0											HF920633.1_00118 hypothetical protein			KF938901.1_00092 hypothetical protein																																																										
N69.HOG0000012	OG0000012	n0											HF920633.1_00163 hypothetical protein			KF938901.1_00012 hypothetical protein																																																										
N69.HOG0000013	OG0000013	n0											HF920633.1_00091 hypothetical protein			KF938901.1_00053 hypothetical protein																																																										
N69.HOG0000014	OG0000014	n0											HF920633.1_00003 hypothetical protein			KF938901.1_00025 hypothetical protein																																																										
N69.HOG0000015	OG0000015	n0											HF920633.1_00138 hypothetical protein			KF938901.1_00074 hypothetical protein																																																										
N69.HOG0000016	OG0000016	n0											HF920633.1_00058 hypothetical protein			KF938901.1_00095 hypothetical protein																																																										
N69.HOG0000017	OG0000017	n0											HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain			KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain																																																										
N69.HOG0000018	OG0000018	n0											HF920633.1_00025 hypothetical protein			KF938901.1_00072 hypothetical protein																																																										
N69.HOG0000019	OG0000019	n0											HF920633.1_00094 hypothetical protein			KF938901.1_00046 hypothetical protein																																																										
N69.HOG0000020	OG0000020	n0											HF920633.1_00085 hypothetical protein			KF938901.1_00125 hypothetical protein																																																										
N69.HOG0000021	OG0000021	n0											HF920633.1_00079 hypothetical protein			KF938901.1_00043 hypothetical protein																																																										
N69.HOG0000022	OG0000022	n0											HF920633.1_00017 hypothetical protein																																																													
N69.HOG0000023	OG0000023	n0											HF920633.1_00122 hypothetical protein			KF938901.1_00114 hypothetical protein																																																										
N69.HOG0000024	OG0000024	n0											HF920633.1_00047 hypothetical protein			KF938901.1_00093 hypothetical protein																																																										
N69.HOG0000025	OG0000121	n0											HF920633.1_00040 hypothetical protein, HF920633.1_00117 hypothetical protein, HF920633.1_00143 hypothetical protein, HF920633.1_00057 hypothetical protein, HF920633.1_00107 hypothetical protein, HF920633.1_00172 hypothetical protein, HF920633.1_00170 hypothetical protein			KF938901.1_00085 hypothetical protein, KF938901.1_00140 hypothetical protein																																																										
N69.HOG0000026	OG0000126	n0											HF920633.1_00086 hypothetical protein																																																													
N69.HOG0000027	OG0000127	n2											HF920633.1_00147 hypothetical protein																																																													
N69.HOG0000028	OG0000127	n7											HF920633.1_00130 hypothetical protein, HF920633.1_00174 hypothetical protein			KF938901.1_00020 hypothetical protein																																																										
N69.HOG0000029	OG0000127	n9											HF920633.1_00007 hypothetical protein			KF938901.1_00049 hypothetical protein, KF938901.1_00115 hypothetical protein																																																										
N69.HOG0000030	OG0000128	n0											HF920633.1_00116 hypothetical protein																																																													
N69.HOG0000031	OG0000129	n0											HF920633.1_00081 hypothetical protein, HF920633.1_00059 hypothetical protein, HF920633.1_00119 hypothetical protein			KF938901.1_00135 hypothetical protein, KF938901.1_00151 hypothetical protein, KF938901.1_00001 hypothetical protein, KF938901.1_00158 hypothetical protein, KF938901.1_00084 hypothetical protein, KF938901.1_00030 hypothetical protein, KF938901.1_00119 hypothetical protein, KF938901.1_00127 hypothetical protein																																																										
N69.HOG0000032	OG0000131	n0											HF920633.1_00004 hypothetical protein																																																													
N69.HOG0000033	OG0000132	n0											HF920633.1_00135 hypothetical protein			KF938901.1_00086 hypothetical protein																																																										
N69.HOG0000034	OG0000134	n0											HF920633.1_00132 hypothetical protein			KF938901.1_00048 Ribonucleoside-diphosphate reductase large subunit																																																										
N69.HOG0000035	OG0000135	n0											HF920633.1_00053 hypothetical protein			KF938901.1_00065 hypothetical protein																																																										
N69.HOG0000036	OG0000136	n0											HF920633.1_00156 Thymidylate synthase			KF938901.1_00108 Thymidylate synthase																																																										
N69.HOG0000037	OG0000140	n0											HF920633.1_00026 hypothetical protein			KF938901.1_00069 hypothetical protein																																																										
N69.HOG0000038	OG0000141	n0											HF920633.1_00064 hypothetical protein			KF938901.1_00007 hypothetical protein																																																										
N69.HOG0000039	OG0000142	n1											HF920633.1_00104 hypothetical protein																																																													
N69.HOG0000040	OG0000142	n3											HF920633.1_00092 hypothetical protein, HF920633.1_00153 hypothetical protein, HF920633.1_00014 hypothetical protein, HF920633.1_00027 hypothetical protein																																																													
N69.HOG0000041	OG0000146	n1											HF920633.1_00129 hypothetical protein																																																													
N69.HOG0000042	OG0000146	n3											HF920633.1_00099 hypothetical protein, HF920633.1_00019 hypothetical protein, HF920633.1_00100 hypothetical protein																																																													
N69.HOG0000043	OG0000147	n0											HF920633.1_00088 hypothetical protein			KF938901.1_00112 hypothetical protein																																																										
N69.HOG0000044	OG0000148	n0											HF920633.1_00036 hypothetical protein			KF938901.1_00106 hypothetical protein																																																										
N69.HOG0000045	OG0000149	n0											HF920633.1_00106 hypothetical protein			KF938901.1_00118 Deoxyuridine																																																										
N69.HOG0000046	OG0000152	n0											HF920633.1_00024 hypothetical protein			KF938901.1_00027 hypothetical protein																																																										
N69.HOG0000047	OG0000158	n0											HF920633.1_00030 hypothetical protein																																																													
N69.HOG0000048	OG0000159	n0											HF920633.1_00134 hypothetical protein			KF938901.1_00102 hypothetical protein																																																										
N69.HOG0000049	OG0000160	n0											HF920633.1_00039 hypothetical protein			KF938901.1_00075 hypothetical protein																																																										
N69.HOG0000050	OG0000161	n0											HF920633.1_00105 hypothetical protein			KF938901.1_00117 hypothetical protein																																																										
N69.HOG0000051	OG0000162	n0											HF920633.1_00082 hypothetical protein			KF938901.1_00103 hypothetical protein																																																										
N69.HOG0000052	OG0000163	n0											HF920633.1_00169 DNA ligase			KF938901.1_00128 DNA ligase																																																										
N69.HOG0000053	OG0000164	n0											HF920633.1_00177 hypothetical protein			KF938901.1_00121 hypothetical protein																																																										
N69.HOG0000054	OG0000165	n0											HF920633.1_00144 hypothetical protein			KF938901.1_00101 hypothetical protein																																																										
N69.HOG0000055	OG0000166	n0											HF920633.1_00145 hypothetical protein			KF938901.1_00104 hypothetical protein																																																										
N69.HOG0000056	OG0000167	n0											HF920633.1_00046 hypothetical protein			KF938901.1_00150 hypothetical protein																																																										
N69.HOG0000057	OG0000168	n3											HF920633.1_00161 hypothetical protein			KF938901.1_00006 hypothetical protein																																																										
N69.HOG0000058	OG0000168	n4											HF920633.1_00031 hypothetical protein			KF938901.1_00105 hypothetical protein																																																										
N69.HOG0000059	OG0000169	n1											HF920633.1_00096 hypothetical protein			KF938901.1_00153 hypothetical protein																																																										
N69.HOG0000060	OG0000169	n4														KF938901.1_00066 hypothetical protein																																																										
N69.HOG0000061	OG0000170	n0											HF920633.1_00171 hypothetical protein			KF938901.1_00017 hypothetical protein																																																										
N69.HOG0000062	OG0000172	n0											HF920633.1_00034 hypothetical protein			KF938901.1_00009 hypothetical protein																																																										
N69.HOG0000063	OG0000175	n0											HF920633.1_00128 hypothetical protein			KF938901.1_00116 hypothetical protein																																																										
N69.HOG0000064	OG0000176	n0											HF920633.1_00110 hypothetical protein			KF938901.1_00133 hypothetical protein																																																										
N69.HOG0000065	OG0000178	n0											HF920633.1_00149 DNA topoisomerase 2			KF938901.1_00141 DNA topoisomerase 2																																																										
N69.HOG0000066	OG0000179	n0											HF920633.1_00165 hypothetical protein			KF938901.1_00014 hypothetical protein																																																										
N69.HOG0000067	OG0000180	n0											HF920633.1_00103 hypothetical protein			KF938901.1_00100 hypothetical protein																																																										
N69.HOG0000068	OG0000181	n0											HF920633.1_00020 hypothetical protein, HF920633.1_00021 hypothetical protein			KF938901.1_00099 hypothetical protein																																																										
N69.HOG0000069	OG0000182	n0											HF920633.1_00032 hypothetical protein			KF938901.1_00073 hypothetical protein																																																										
N69.HOG0000070	OG0000183	n0											HF920633.1_00022 hypothetical protein			KF938901.1_00152 hypothetical protein																																																										
N69.HOG0000071	OG0000185	n0											HF920633.1_00131 hypothetical protein			KF938901.1_00063 hypothetical protein																																																										
N69.HOG0000072	OG0000186	n0											HF920633.1_00120 hypothetical protein			KF938901.1_00134 hypothetical protein																																																										
N69.HOG0000073	OG0000187	n0											HF920633.1_00146 hypothetical protein			KF938901.1_00139 hypothetical protein																																																										
N69.HOG0000074	OG0000188	n0											HF920633.1_00056 hypothetical protein			KF938901.1_00070 hypothetical protein																																																										
