HOG	OG	Gene Tree Parent Clade	23043610003	23043610005	AB104413	AF303741	AF371960	AP017456	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT781098	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
N44.HOG0000000	OG0000000	n0				AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2			AY521625.1_00091 AY521625.1 - hypothetical protein translation				HF920633.1_00044 hypothetical protein	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2		KF938901.1_00126 DNA-directed RNA polymerase subunit 1			Lymph_LDV3_KX643370_00131 hypothetical protein	LS484712.1_00114 hypothetical protein	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2									OM037668.1_00035 hypothetical protein	MN803438.1_00124 hypothetical protein			OM037668.1_00035 hypothetical protein																				NC_005946.1_00010 hypothetical protein						OM037668.1_00035 hypothetical protein														
N44.HOG0000001	OG0000001	n0				AF303741.1_00047 hypothetical protein			AY521625.1_00077 AY521625.1 - hypothetical protein translation				HF920633.1_00069 hypothetical protein	HF920637.1_00059 HF920637.1 - hypothetical protein translation		KF938901.1_00080 hypothetical protein			Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein	LS484712.1_00095 hypothetical protein	MF599468.1_00163 MF599468.1 - hypothetical protein translation									OM037668.1_00056 hypothetical protein	MN803438.1_00101 hypothetical protein			OM037668.1_00056 hypothetical protein																				NC_005946.1_00053 hypothetical protein						OM037668.1_00056 hypothetical protein														
N44.HOG0000002	OG0000002	n0				AF303741.1_00035 hypothetical protein			AY521625.1_00130 AY521625.1 - hypothetical protein translation				HF920633.1_00127 hypothetical protein	HF920637.1_00159 HF920637.1 - hypothetical protein translation		KF938901.1_00005 hypothetical protein			Lymph_LDV3_KX643370_00120 hypothetical protein	LS484712.1_00187 hypothetical protein	MF599468.1_00011 MF599468.1 - hypothetical protein translation									SDDV_ORF050 RING E3 ubiquitin ligase, OM037668.1_00050 hypothetical protein	MN803438.1_00113 hypothetical protein			OM037668.1_00050 hypothetical protein																				NC_005946.1_00057 hypothetical protein						OM037668.1_00050 hypothetical protein														
N44.HOG0000003	OG0000003	n0				AF303741.1_00165 hypothetical protein			AY521625.1_00085 AY521625.1 - hypothetical protein translation				HF920633.1_00043 hypothetical protein	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation		KF938901.1_00067 hypothetical protein			Lymph_LDV3_KX643370_00137 hypothetical protein	LS484712.1_00248 hypothetical protein	MF599468.1_00030 MF599468.1 - hypothetical protein translation									SDDV_ORF038 Flap endonuclease	MN803438.1_00106 hypothetical protein			SDDV_ORF038 Flap endonuclease																				NC_005946.1_00095 hypothetical protein						SDDV_ORF038 Flap endonuclease														
N44.HOG0000004	OG0000004	n0				AF303741.1_00158 hypothetical protein			AY521625.1_00054 AY521625.1 - hypothetical protein translation				HF920633.1_00097 hypothetical protein	HF920637.1_00041 HF920637.1 - hypothetical protein translation		KF938901.1_00124 hypothetical protein			Lymph_LDV3_KX643370_00077 hypothetical protein	LS484712.1_00096 hypothetical protein	MF599468.1_00116 MF599468.1 - hypothetical protein translation									OM037668.1_00013 hypothetical protein	MN803438.1_00089 hypothetical protein			OM037668.1_00013 hypothetical protein																				NC_005946.1_00038 hypothetical protein						OM037668.1_00013 hypothetical protein														
N44.HOG0000005	OG0000005	n0				AF303741.1_00125 Major capsid protein			AY521625.1_00064 AY521625.1 - Major capsid protein translation				HF920633.1_00073 Major capsid protein	HF920637.1_00143 HF920637.1 - Major capsid protein translation		KF938901.1_00044 Major capsid protein			Lymph_LDV3_KX643370_00051 Major capsid protein	LS484712.1_00142 Major capsid protein	MF599468.1_00152 MF599468.1 - Major capsid protein translation									OM037668.1_00057 Major capsid protein	MN803438.1_00023 Major capsid protein			OM037668.1_00057 Major capsid protein																				NC_005946.1_00091 Major capsid protein						OM037668.1_00057 Major capsid protein														
N44.HOG0000006	OG0000006	n0				AF303741.1_00011 hypothetical protein			AY521625.1_00110 AY521625.1 - hypothetical protein translation				HF920633.1_00001 hypothetical protein	HF920637.1_00001 HF920637.1 - hypothetical protein translation		KF938901.1_00054 hypothetical protein			Lymph_LDV3_KX643370_00117 hypothetical protein	LS484712.1_00200 hypothetical protein	MF599468.1_00112 MF599468.1 - hypothetical protein translation									OM037668.1_00041 hypothetical protein	MN803438.1_00128 hypothetical protein			OM037668.1_00041 hypothetical protein																				NC_005946.1_00060 hypothetical protein						OM037668.1_00041 hypothetical protein														
N44.HOG0000007	OG0000007	n0				AF303741.1_00156 hypothetical protein			AY521625.1_00074 AY521625.1 - hypothetical protein translation				HF920633.1_00080 hypothetical protein	HF920637.1_00031 HF920637.1 - hypothetical protein translation		KF938901.1_00047 hypothetical protein			Lymph_LDV3_KX643370_00057 hypothetical protein	LS484712.1_00188 hypothetical protein	MF599468.1_00090 MF599468.1 - hypothetical protein translation									OM037668.1_00123 hypothetical protein	MN803438.1_00068 hypothetical protein			OM037668.1_00123 hypothetical protein																				NC_005946.1_00083 hypothetical protein						OM037668.1_00123 hypothetical protein														
N44.HOG0000008	OG0000008	n0				AF303741.1_00063 hypothetical protein			AY521625.1_00059 AY521625.1 - hypothetical protein translation				HF920633.1_00158 hypothetical protein	HF920637.1_00073 HF920637.1 - hypothetical protein translation		KF938901.1_00123 hypothetical protein			Lymph_LDV3_KX643370_00040 hypothetical protein	LS484712.1_00240 hypothetical protein	MF599468.1_00035 MF599468.1 - hypothetical protein translation									OM037668.1_00124 hypothetical protein	MN803438.1_00035 hypothetical protein			OM037668.1_00124 hypothetical protein																				NC_005946.1_00087 hypothetical protein						OM037668.1_00124 hypothetical protein														
N44.HOG0000009	OG0000009	n0				AF303741.1_00189 DNA-directed RNA polymerase subunit 2			AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation				HF920633.1_00175 DNA-directed RNA polymerase subunit 2	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation		KF938901.1_00022 DNA-directed RNA polymerase subunit 2, KF938901.1_00023 DNA-directed RNA polymerase subunit 2			Lymph_LDV3_KX643370_00049 hypothetical protein	LS484712.1_00194 DNA-directed RNA polymerase subunit 2	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation									OM037668.1_00127 DNA-directed RNA polymerase subunit 2	MN803438.1_00013 hypothetical protein			OM037668.1_00127 DNA-directed RNA polymerase subunit 2																				FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit						OM037668.1_00127 DNA-directed RNA polymerase subunit 2														
