Orthogroup	KF938901	MW883598
OG0000000	KF938901.1_00126 DNA-directed RNA polymerase subunit 1	MK689686.1_00029 hypothetical protein
OG0000001	KF938901.1_00080 hypothetical protein	MK689686.1_00008 hypothetical protein
OG0000002	KF938901.1_00005 hypothetical protein	MK689686.1_00014 hypothetical protein
OG0000003	KF938901.1_00067 hypothetical protein	MK689686.1_00028 hypothetical protein
OG0000004	KF938901.1_00114 hypothetical protein	MK689686.1_00112 hypothetical protein
OG0000005	KF938901.1_00124 hypothetical protein	MK689686.1_00005 hypothetical protein
OG0000006	KF938901.1_00044 Major capsid protein	MK689686.1_00007 Major capsid protein
OG0000007	KF938901.1_00054 hypothetical protein	MK689686.1_00021 hypothetical protein
OG0000008	KF938901.1_00047 hypothetical protein	MK689686.1_00030 hypothetical protein
OG0000009	KF938901.1_00123 hypothetical protein	MK689686.1_00032 hypothetical protein
OG0000010	KF938901.1_00022 DNA-directed RNA polymerase subunit 2, KF938901.1_00023 DNA-directed RNA polymerase subunit 2	MK689686.1_00034 DNA-directed RNA polymerase subunit 2
OG0000011	KF938901.1_00060 hypothetical protein	MK689686.1_00056 hypothetical protein
OG0000012	KF938901.1_00092 hypothetical protein	MK689686.1_00062 hypothetical protein
OG0000013	KF938901.1_00012 hypothetical protein	MK689686.1_00084 hypothetical protein
OG0000014	KF938901.1_00053 hypothetical protein	MK689686.1_00088 hypothetical protein
OG0000015	KF938901.1_00025 hypothetical protein	MK689686.1_00105 hypothetical protein
OG0000016	KF938901.1_00074 hypothetical protein	MK689686.1_00120 hypothetical protein
OG0000017	KF938901.1_00095 hypothetical protein	MK689686.1_00121 hypothetical protein
OG0000018	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain
OG0000019	KF938901.1_00072 hypothetical protein	MK689686.1_00074 hypothetical protein
OG0000020	KF938901.1_00046 hypothetical protein	MK689686.1_00085 hypothetical protein
OG0000021	KF938901.1_00125 hypothetical protein	MK689686.1_00093 hypothetical protein
OG0000022	KF938901.1_00043 hypothetical protein	MK689686.1_00110 hypothetical protein
OG0000025	KF938901.1_00093 hypothetical protein	MK689686.1_00063 hypothetical protein
