Orthogroup	KF938901	AF303741
OG0000000	KF938901.1_00126 DNA-directed RNA polymerase subunit 1	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2
OG0000001	KF938901.1_00080 hypothetical protein	AF303741.1_00047 hypothetical protein
OG0000002	KF938901.1_00005 hypothetical protein	AF303741.1_00035 hypothetical protein
OG0000003	KF938901.1_00067 hypothetical protein	AF303741.1_00165 hypothetical protein
OG0000004	KF938901.1_00114 hypothetical protein	AF303741.1_00176 hypothetical protein
OG0000005	KF938901.1_00124 hypothetical protein	AF303741.1_00158 hypothetical protein
OG0000006	KF938901.1_00044 Major capsid protein	AF303741.1_00125 Major capsid protein
OG0000007	KF938901.1_00054 hypothetical protein	AF303741.1_00011 hypothetical protein
OG0000008	KF938901.1_00047 hypothetical protein	AF303741.1_00156 hypothetical protein
OG0000009	KF938901.1_00123 hypothetical protein	AF303741.1_00063 hypothetical protein
OG0000010	KF938901.1_00022 DNA-directed RNA polymerase subunit 2, KF938901.1_00023 DNA-directed RNA polymerase subunit 2	AF303741.1_00189 DNA-directed RNA polymerase subunit 2
OG0000011	KF938901.1_00060 hypothetical protein	AF303741.1_00023 hypothetical protein
OG0000012	KF938901.1_00092 hypothetical protein	AF303741.1_00006 hypothetical protein
OG0000013	KF938901.1_00012 hypothetical protein	AF303741.1_00137 hypothetical protein
OG0000014	KF938901.1_00053 hypothetical protein	AF303741.1_00149 hypothetical protein
OG0000015	KF938901.1_00025 hypothetical protein	AF303741.1_00081 hypothetical protein
OG0000016	KF938901.1_00074 hypothetical protein	AF303741.1_00026 hypothetical protein
OG0000017	KF938901.1_00095 hypothetical protein	AF303741.1_00046 hypothetical protein
OG0000018	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain
OG0000019	KF938901.1_00072 hypothetical protein	AF303741.1_00132 hypothetical protein
OG0000020	KF938901.1_00046 hypothetical protein	AF303741.1_00062 hypothetical protein
OG0000021	KF938901.1_00125 hypothetical protein	AF303741.1_00129 hypothetical protein
OG0000022	KF938901.1_00043 hypothetical protein	AF303741.1_00080 hypothetical protein
OG0000025	KF938901.1_00093 hypothetical protein	AF303741.1_00051 Dual specificity protein phosphatase H1
OG0000121	KF938901.1_00085 hypothetical protein, KF938901.1_00140 hypothetical protein	AF303741.1_00094 hypothetical protein, AF303741.1_00109 hypothetical protein
OG0000127	KF938901.1_00020 hypothetical protein, KF938901.1_00049 hypothetical protein, KF938901.1_00115 hypothetical protein, KF938901.1_00091 hypothetical protein	AF303741.1_00121 hypothetical protein, AF303741.1_00195 hypothetical protein
OG0000129	KF938901.1_00135 hypothetical protein, KF938901.1_00151 hypothetical protein, KF938901.1_00001 hypothetical protein, KF938901.1_00158 hypothetical protein, KF938901.1_00084 hypothetical protein, KF938901.1_00030 hypothetical protein, KF938901.1_00119 hypothetical protein, KF938901.1_00127 hypothetical protein	AF303741.1_00088 hypothetical protein
OG0000132	KF938901.1_00086 hypothetical protein	AF303741.1_00126 hypothetical protein
OG0000134	KF938901.1_00048 Ribonucleoside-diphosphate reductase large subunit	AF303741.1_00031 hypothetical protein
OG0000135	KF938901.1_00065 hypothetical protein	AF303741.1_00100 hypothetical protein, AF303741.1_00162 hypothetical protein
OG0000136	KF938901.1_00108 Thymidylate synthase	AF303741.1_00101 Thymidylate synthase
OG0000140	KF938901.1_00069 hypothetical protein	AF303741.1_00072 hypothetical protein
OG0000141	KF938901.1_00007 hypothetical protein	AF303741.1_00157 hypothetical protein
OG0000147	KF938901.1_00112 hypothetical protein	AF303741.1_00145 hypothetical protein, AF303741.1_00090 hypothetical protein
OG0000148	KF938901.1_00106 hypothetical protein	AF303741.1_00183 hypothetical protein
OG0000149	KF938901.1_00118 Deoxyuridine	AF303741.1_00192 hypothetical protein
OG0000159	KF938901.1_00102 hypothetical protein	AF303741.1_00056 hypothetical protein
OG0000160	KF938901.1_00075 hypothetical protein	AF303741.1_00068 hypothetical protein, AF303741.1_00067 hypothetical protein
OG0000161	KF938901.1_00117 hypothetical protein	AF303741.1_00076 hypothetical protein
OG0000162	KF938901.1_00103 hypothetical protein	AF303741.1_00087 hypothetical protein
OG0000163	KF938901.1_00128 DNA ligase	AF303741.1_00091 DNA ligase
OG0000164	KF938901.1_00121 hypothetical protein	AF303741.1_00096 hypothetical protein
OG0000165	KF938901.1_00101 hypothetical protein	AF303741.1_00105 hypothetical protein
OG0000166	KF938901.1_00104 hypothetical protein	AF303741.1_00169 hypothetical protein
OG0000167	KF938901.1_00150 hypothetical protein	AF303741.1_00179 hypothetical protein
OG0000168	KF938901.1_00006 hypothetical protein, KF938901.1_00105 hypothetical protein	AF303741.1_00181 hypothetical protein
OG0000169	KF938901.1_00153 hypothetical protein	AF303741.1_00182 hypothetical protein
OG0000175	KF938901.1_00116 hypothetical protein	AF303741.1_00003 hypothetical protein
OG0000176	KF938901.1_00133 hypothetical protein	AF303741.1_00004 hypothetical protein
OG0000178	KF938901.1_00141 DNA topoisomerase 2	AF303741.1_00015 DNA topoisomerase 2
OG0000179	KF938901.1_00014 hypothetical protein	AF303741.1_00017 hypothetical protein
OG0000180	KF938901.1_00100 hypothetical protein	AF303741.1_00085 hypothetical protein
OG0000181	KF938901.1_00099 hypothetical protein	AF303741.1_00086 hypothetical protein
OG0000182	KF938901.1_00073 hypothetical protein	AF303741.1_00104 hypothetical protein
OG0000183	KF938901.1_00152 hypothetical protein	AF303741.1_00112 hypothetical protein
OG0000185	KF938901.1_00063 hypothetical protein	AF303741.1_00122 hypothetical protein
OG0000186	KF938901.1_00134 hypothetical protein	AF303741.1_00136 hypothetical protein
OG0000187	KF938901.1_00139 hypothetical protein	AF303741.1_00146 hypothetical protein
OG0000188	KF938901.1_00070 hypothetical protein	AF303741.1_00148 hypothetical protein
OG0000189	KF938901.1_00146 hypothetical protein	AF303741.1_00150 hypothetical protein
OG0000190	KF938901.1_00077 hypothetical protein	AF303741.1_00151 hypothetical protein
OG0000191	KF938901.1_00079 hypothetical protein	AF303741.1_00161 hypothetical protein
OG0000193	KF938901.1_00010 hypothetical protein	AF303741.1_00177 hypothetical protein
OG0000194	KF938901.1_00008 hypothetical protein	AF303741.1_00184 hypothetical protein
OG0000195	KF938901.1_00113 hypothetical protein	AF303741.1_00193 hypothetical protein
OG0000196	KF938901.1_00148 hypothetical protein	AF303741.1_00197 hypothetical protein
OG0000204	KF938901.1_00130 hypothetical protein	AF303741.1_00018 hypothetical protein
OG0000206	KF938901.1_00057 hypothetical protein	AF303741.1_00042 hypothetical protein
OG0000207	KF938901.1_00082 hypothetical protein	AF303741.1_00044 hypothetical protein
OG0000208	KF938901.1_00109 hypothetical protein	AF303741.1_00064 hypothetical protein
OG0000209	KF938901.1_00029 hypothetical protein	AF303741.1_00074 hypothetical protein
OG0000210	KF938901.1_00098 hypothetical protein	AF303741.1_00107 hypothetical protein
OG0000211	KF938901.1_00136 hypothetical protein	AF303741.1_00120 hypothetical protein
OG0000212	KF938901.1_00045 hypothetical protein	AF303741.1_00124 hypothetical protein
OG0000213	KF938901.1_00090 hypothetical protein	AF303741.1_00135 hypothetical protein
OG0000214	KF938901.1_00155 hypothetical protein	AF303741.1_00159 hypothetical protein
OG0000215	KF938901.1_00035 hypothetical protein	AF303741.1_00160 hypothetical protein
OG0000216	KF938901.1_00062 hypothetical protein	AF303741.1_00175 hypothetical protein
OG0000217	KF938901.1_00107 hypothetical protein	AF303741.1_00203 hypothetical protein
OG0000218	KF938901.1_00154 hypothetical protein	AF303741.1_00204 hypothetical protein
OG0000234	KF938901.1_00038 hypothetical protein	AF303741.1_00028 hypothetical protein
OG0000235	KF938901.1_00015 hypothetical protein	AF303741.1_00053 hypothetical protein
OG0000237	KF938901.1_00016 hypothetical protein	AF303741.1_00093 hypothetical protein
OG0000238	KF938901.1_00018 hypothetical protein	AF303741.1_00115 hypothetical protein
OG0000239	KF938901.1_00040 hypothetical protein	AF303741.1_00116 hypothetical protein
OG0000241	KF938901.1_00122 hypothetical protein	AF303741.1_00201 hypothetical protein
