Orthogroup	KF938901	MG570131
OG0000000	KF938901.1_00126 DNA-directed RNA polymerase subunit 1	MG570131.1_00031 hypothetical protein
OG0000001	KF938901.1_00080 hypothetical protein	MG570131.1_00009 hypothetical protein
OG0000002	KF938901.1_00005 hypothetical protein	MG570131.1_00016 hypothetical protein
OG0000003	KF938901.1_00067 hypothetical protein	MG570131.1_00030 hypothetical protein
OG0000004	KF938901.1_00114 hypothetical protein	MG570131.1_00110 hypothetical protein
OG0000005	KF938901.1_00124 hypothetical protein	NLI interacting factor-like phosphatase_refgen NLI interacting factor-like phosphatase
OG0000006	KF938901.1_00044 Major capsid protein	MG570131.1_00008 Major capsid protein
OG0000007	KF938901.1_00054 hypothetical protein	MG570131.1_00023 hypothetical protein
OG0000008	KF938901.1_00047 hypothetical protein	MG570131.1_00032 hypothetical protein
OG0000009	KF938901.1_00123 hypothetical protein	MG570131.1_00034 hypothetical protein
OG0000010	KF938901.1_00022 DNA-directed RNA polymerase subunit 2, KF938901.1_00023 DNA-directed RNA polymerase subunit 2	MG570131.1_00036 DNA-directed RNA polymerase subunit 2
OG0000011	KF938901.1_00060 hypothetical protein	MG570131.1_00057 hypothetical protein
OG0000012	KF938901.1_00092 hypothetical protein	MG570131.1_00063 hypothetical protein
OG0000013	KF938901.1_00012 hypothetical protein	MG570131.1_00083 hypothetical protein
OG0000014	KF938901.1_00053 hypothetical protein	MG570131.1_00087 hypothetical protein
OG0000015	KF938901.1_00025 hypothetical protein	MG570131.1_00103 hypothetical protein
OG0000016	KF938901.1_00074 hypothetical protein	MG570131.1_00118 hypothetical protein
OG0000017	KF938901.1_00095 hypothetical protein	MG570131.1_00119 hypothetical protein
OG0000018	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain	MG570131.1_00027 Ribonucleoside-diphosphate reductase small chain
OG0000019	KF938901.1_00072 hypothetical protein	MG570131.1_00073 hypothetical protein
OG0000020	KF938901.1_00046 hypothetical protein	MG570131.1_00084 hypothetical protein
OG0000021	KF938901.1_00125 hypothetical protein	MG570131.1_00092 hypothetical protein
OG0000022	KF938901.1_00043 hypothetical protein	MG570131.1_00108 hypothetical protein
OG0000025	KF938901.1_00093 hypothetical protein	MG570131.1_00064 hypothetical protein
