Orthogroup	KF938901	NC_005946
OG0000000	KF938901.1_00126 DNA-directed RNA polymerase subunit 1	NC_005946.1_00010 hypothetical protein
OG0000001	KF938901.1_00080 hypothetical protein	NC_005946.1_00053 hypothetical protein
OG0000002	KF938901.1_00005 hypothetical protein	NC_005946.1_00057 hypothetical protein
OG0000003	KF938901.1_00067 hypothetical protein	NC_005946.1_00095 hypothetical protein
OG0000004	KF938901.1_00114 hypothetical protein	NC_005946.1_00092 hypothetical protein
OG0000005	KF938901.1_00124 hypothetical protein	NC_005946.1_00038 hypothetical protein
OG0000006	KF938901.1_00044 Major capsid protein	NC_005946.1_00091 Major capsid protein
OG0000007	KF938901.1_00054 hypothetical protein	NC_005946.1_00060 hypothetical protein
OG0000008	KF938901.1_00047 hypothetical protein	NC_005946.1_00083 hypothetical protein
OG0000009	KF938901.1_00123 hypothetical protein	NC_005946.1_00087 hypothetical protein
OG0000010	KF938901.1_00022 DNA-directed RNA polymerase subunit 2, KF938901.1_00023 DNA-directed RNA polymerase subunit 2	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit
OG0000011	KF938901.1_00060 hypothetical protein	NC_005946.1_00022 hypothetical protein
OG0000012	KF938901.1_00092 hypothetical protein	NC_005946.1_00011 hypothetical protein
OG0000013	KF938901.1_00012 hypothetical protein	NC_005946.1_00094 hypothetical protein
OG0000014	KF938901.1_00053 hypothetical protein	NC_005946.1_00002 hypothetical protein
OG0000015	KF938901.1_00025 hypothetical protein	NC_005946.1_00023 hypothetical protein
OG0000016	KF938901.1_00074 hypothetical protein	NC_005946.1_00016 hypothetical protein
OG0000017	KF938901.1_00095 hypothetical protein	NC_005946.1_00021 hypothetical protein
OG0000018	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain	NC_005946.1_00067 hypothetical protein
OG0000019	KF938901.1_00072 hypothetical protein	NC_005946.1_00042 hypothetical protein
OG0000020	KF938901.1_00046 hypothetical protein	NC_005946.1_00082 hypothetical protein
OG0000021	KF938901.1_00125 hypothetical protein	NC_005946.1_00014 hypothetical protein
OG0000022	KF938901.1_00043 hypothetical protein	NC_005946.1_00028 hypothetical protein
OG0000132	KF938901.1_00086 hypothetical protein	NC_005946.1_00001 hypothetical protein
OG0000134	KF938901.1_00048 Ribonucleoside-diphosphate reductase large subunit	NC_005946.1_00039 Ribonucleoside-diphosphate reductase large subunit
OG0000140	KF938901.1_00069 hypothetical protein	NC_005946.1_00054 hypothetical protein
OG0000149	KF938901.1_00118 Deoxyuridine	NC_005946.1_00063 Deoxyuridine
OG0000152	KF938901.1_00027 hypothetical protein	NC_005946.1_00044 hypothetical protein
OG0000165	KF938901.1_00101 hypothetical protein	NC_005946.1_00004 hypothetical protein
OG0000170	KF938901.1_00017 hypothetical protein	NC_005946.1_00026 hypothetical protein
OG0000172	KF938901.1_00009 hypothetical protein	NC_005946.1_00029 hypothetical protein
