Orthogroup	L63545.1	GQ273492.1
OG0000000	L63545.1_00007	GQ273492.1_00030
OG0000001	L63545.1_00035	GQ273492.1_00008
OG0000002	L63545.1_00079	GQ273492.1_00007
OG0000003	L63545.1_00076	GQ273492.1_00015
OG0000004	L63545.1_00001	GQ273492.1_00108
OG0000005	L63545.1_00056	GQ273492.1_00092
OG0000006	L63545.1_00093	GQ273492.1_00073
OG0000007	L63545.1_00090	GQ273492.1_00087
OG0000008	L63545.1_00108	GQ273492.1_00029
OG0000009	L63545.1_00024	GQ273492.1_00110
OG0000011	L63545.1_00069	GQ273492.1_00063
OG0000012	L63545.1_00071	GQ273492.1_00022
OG0000013	L63545.1_00004	GQ273492.1_00056
OG0000014	L63545.1_00030	GQ273492.1_00118
OG0000015	L63545.1_00110	GQ273492.1_00119
OG0000016	L63545.1_00073	GQ273492.1_00084
OG0000017	L63545.1_00072	GQ273492.1_00033
OG0000018	L63545.1_00068	GQ273492.1_00103
OG0000019	L63545.1_00009	GQ273492.1_00083
OG0000020	L63545.1_00098	GQ273492.1_00031
OG0000021	L63545.1_00043	GQ273492.1_00005
OG0000022	L63545.1_00013	GQ273492.1_00035
OG0000023	L63545.1_00054	GQ273492.1_00044
OG0000024	L63545.1_00015	GQ273492.1_00027
OG0000026	L63545.1_00002	GQ273492.1_00106
OG0000027	L63545.1_00058	GQ273492.1_00085
OG0000028	L63545.1_00003	GQ273492.1_00047
