Orthogroup	L63545.1	MT521409.1
OG0000000	L63545.1_00007	MT521409.1_00103
OG0000001	L63545.1_00035	MT521409.1_00082
OG0000002	L63545.1_00079	MT521409.1_00081
OG0000003	L63545.1_00076	MT521409.1_00088
OG0000004	L63545.1_00001	MT521409.1_00061
OG0000005	L63545.1_00056	MT521409.1_00057
OG0000006	L63545.1_00093	MT521409.1_00117
OG0000007	L63545.1_00090	MT521409.1_00053
OG0000008	L63545.1_00108	MT521409.1_00100
OG0000009	L63545.1_00024	MT521409.1_00060
OG0000011	L63545.1_00069	MT521409.1_00129
OG0000012	L63545.1_00071	MT521409.1_00097
OG0000013	L63545.1_00004	MT521409.1_00039
OG0000014	L63545.1_00030	MT521409.1_00059
OG0000015	L63545.1_00110	MT521409.1_00134
OG0000016	L63545.1_00073	MT521409.1_00048
OG0000017	L63545.1_00072	MT521409.1_00011
OG0000018	L63545.1_00068	MT521409.1_00064
OG0000019	L63545.1_00009	MT521409.1_00047
OG0000020	L63545.1_00098	MT521409.1_00012
OG0000021	L63545.1_00043	MT521409.1_00125
OG0000022	L63545.1_00013	MT521409.1_00008
OG0000023	L63545.1_00054	MT521409.1_00024
OG0000024	L63545.1_00015	MT521409.1_00074
OG0000026	L63545.1_00002	MT521409.1_00063
OG0000027	L63545.1_00058	MT521409.1_00050
OG0000028	L63545.1_00003	MT521409.1_00027
OG0000151	L63545.1_00085	MT521409.1_00137
OG0000161	L63545.1_00087	MT521409.1_00102
