Orthogroup	L63545.1	AY779031.1
OG0000000	L63545.1_00007	AY779031.1_00034
OG0000001	L63545.1_00035	AY779031.1_00008
OG0000002	L63545.1_00079	AY779031.1_00007
OG0000003	L63545.1_00076	AY779031.1_00015, AY779031.1_00016
OG0000004	L63545.1_00001	AY779031.1_00121
OG0000005	L63545.1_00056	AY779031.1_00103
OG0000006	L63545.1_00093	AY779031.1_00083
OG0000007	L63545.1_00090	AY779031.1_00098
OG0000008	L63545.1_00108	AY779031.1_00033
OG0000009	L63545.1_00024	AY779031.1_00122
OG0000011	L63545.1_00069	AY779031.1_00068
OG0000012	L63545.1_00071	AY779031.1_00023
OG0000013	L63545.1_00004	AY779031.1_00061
OG0000014	L63545.1_00030	AY779031.1_00129
OG0000015	L63545.1_00110	AY779031.1_00130
OG0000016	L63545.1_00073	AY779031.1_00095
OG0000017	L63545.1_00072	AY779031.1_00037
OG0000018	L63545.1_00068	AY779031.1_00116
OG0000019	L63545.1_00009	AY779031.1_00094
OG0000020	L63545.1_00098	AY779031.1_00035
OG0000021	L63545.1_00043	AY779031.1_00005
OG0000022	L63545.1_00013	AY779031.1_00039
OG0000023	L63545.1_00054	AY779031.1_00049
OG0000026	L63545.1_00002	AY779031.1_00119
OG0000027	L63545.1_00058	AY779031.1_00096
OG0000028	L63545.1_00003	AY779031.1_00052
