Orthogroup	L63545.1	MN562489.1
OG0000000	L63545.1_00007	MN562489.1_00102
OG0000001	L63545.1_00035	MN562489.1_00081
OG0000002	L63545.1_00079	MN562489.1_00080
OG0000003	L63545.1_00076	MN562489.1_00087
OG0000004	L63545.1_00001	MN562489.1_00060
OG0000005	L63545.1_00056	MN562489.1_00056
OG0000006	L63545.1_00093	MN562489.1_00116
OG0000007	L63545.1_00090	MN562489.1_00052
OG0000008	L63545.1_00108	MN562489.1_00099
OG0000009	L63545.1_00024	MN562489.1_00059
OG0000011	L63545.1_00069	MN562489.1_00128
OG0000012	L63545.1_00071	MN562489.1_00096
OG0000013	L63545.1_00004	MN562489.1_00038
OG0000014	L63545.1_00030	MN562489.1_00058
OG0000015	L63545.1_00110	MN562489.1_00133
OG0000016	L63545.1_00073	MN562489.1_00047
OG0000017	L63545.1_00072	MN562489.1_00011
OG0000018	L63545.1_00068	MN562489.1_00063
OG0000019	L63545.1_00009	MN562489.1_00046
OG0000020	L63545.1_00098	MN562489.1_00012
OG0000021	L63545.1_00043	MN562489.1_00124
OG0000022	L63545.1_00013	MN562489.1_00008
OG0000023	L63545.1_00054	MN562489.1_00023
OG0000024	L63545.1_00015	MN562489.1_00073
OG0000026	L63545.1_00002	MN562489.1_00062
OG0000027	L63545.1_00058	MN562489.1_00049
OG0000028	L63545.1_00003	MN562489.1_00026
OG0000151	L63545.1_00085	MN562489.1_00136
OG0000161	L63545.1_00087	MN562489.1_00101
