Orthogroup	L63545.1	AF303741.1
OG0000000	L63545.1_00007	AF303741.1_00079, AF303741.1_00152
OG0000001	L63545.1_00035	AF303741.1_00200, AF303741.1_00047
OG0000002	L63545.1_00079	AF303741.1_00125
OG0000003	L63545.1_00076	AF303741.1_00035
OG0000004	L63545.1_00001	AF303741.1_00080
OG0000005	L63545.1_00056	AF303741.1_00129
OG0000006	L63545.1_00093	AF303741.1_00132
OG0000007	L63545.1_00090	AF303741.1_00149
OG0000008	L63545.1_00108	AF303741.1_00165
OG0000009	L63545.1_00024	AF303741.1_00176
OG0000011	L63545.1_00069	AF303741.1_00006
OG0000012	L63545.1_00071	AF303741.1_00011
OG0000013	L63545.1_00004	AF303741.1_00023
OG0000014	L63545.1_00030	AF303741.1_00026
OG0000015	L63545.1_00110	AF303741.1_00046
OG0000016	L63545.1_00073	AF303741.1_00062
OG0000017	L63545.1_00072	AF303741.1_00063
OG0000018	L63545.1_00068	AF303741.1_00081
OG0000019	L63545.1_00009	AF303741.1_00137
OG0000020	L63545.1_00098	AF303741.1_00156
OG0000021	L63545.1_00043	AF303741.1_00158
OG0000022	L63545.1_00013	AF303741.1_00189
OG0000023	L63545.1_00054	AF303741.1_00154
OG0000024	L63545.1_00015	AF303741.1_00168
OG0000113	L63545.1_00088, L63545.1_00051, L63545.1_00047, L63545.1_00050	AF303741.1_00169
OG0000113	L63545.1_00005	AF303741.1_00170
OG0000134	L63545.1_00092	AF303741.1_00126
OG0000135	L63545.1_00016	AF303741.1_00157
OG0000137	L63545.1_00100	AF303741.1_00031
OG0000138	L63545.1_00023	AF303741.1_00100, AF303741.1_00162
OG0000155	L63545.1_00012	AF303741.1_00183
