Orthogroup	L63545.1	HF920637.1
OG0000000	L63545.1_00007	HF920637.1_00129, HF920637.1_00164
OG0000001	L63545.1_00035	HF920637.1_00059
OG0000002	L63545.1_00079	HF920637.1_00143
OG0000003	L63545.1_00076	HF920637.1_00159
OG0000004	L63545.1_00001	HF920637.1_00025
OG0000005	L63545.1_00056	HF920637.1_00221
OG0000006	L63545.1_00093	HF920637.1_00121
OG0000007	L63545.1_00090	HF920637.1_00172
OG0000008	L63545.1_00108	HF920637.1_00176, HF920637.1_00175
OG0000009	L63545.1_00024	HF920637.1_00153
OG0000011	L63545.1_00069	HF920637.1_00217
OG0000012	L63545.1_00071	HF920637.1_00001
OG0000013	L63545.1_00004	HF920637.1_00017
OG0000014	L63545.1_00030	HF920637.1_00108
OG0000015	L63545.1_00110	HF920637.1_00152
OG0000016	L63545.1_00073	HF920637.1_00079
OG0000017	L63545.1_00072	HF920637.1_00073
OG0000018	L63545.1_00068	HF920637.1_00111
OG0000019	L63545.1_00009	HF920637.1_00197
OG0000020	L63545.1_00098	HF920637.1_00031
OG0000021	L63545.1_00043	HF920637.1_00041
OG0000022	L63545.1_00013	HF920637.1_00213
OG0000023	L63545.1_00054	HF920637.1_00033
OG0000024	L63545.1_00015	HF920637.1_00061
OG0000113	L63545.1_00088, L63545.1_00051, L63545.1_00047, L63545.1_00050	HF920637.1_00077, HF920637.1_00148
OG0000113	L63545.1_00005	HF920637.1_00138
OG0000134	L63545.1_00092	HF920637.1_00219
OG0000135	L63545.1_00016	HF920637.1_00014
OG0000137	L63545.1_00100	HF920637.1_00105
OG0000138	L63545.1_00023	HF920637.1_00181
OG0000155	L63545.1_00012	HF920637.1_00168
OG0000160	L63545.1_00055	HF920637.1_00072
OG0000210	L63545.1_00105	HF920637.1_00024
