Orthogroup	L63545.1	MK098185.1
OG0000000	L63545.1_00007	MK098185.1_00033
OG0000001	L63545.1_00035	MK098185.1_00008
OG0000002	L63545.1_00079	MK098185.1_00007
OG0000003	L63545.1_00076	MK098185.1_00015
OG0000004	L63545.1_00001	MK098185.1_00112
OG0000005	L63545.1_00056	MK098185.1_00095
OG0000006	L63545.1_00093	MK098185.1_00076
OG0000007	L63545.1_00090	MK098185.1_00090
OG0000008	L63545.1_00108	MK098185.1_00032
OG0000009	L63545.1_00024	MK098185.1_00114
OG0000011	L63545.1_00069	MK098185.1_00064
OG0000012	L63545.1_00071	MK098185.1_00022
OG0000013	L63545.1_00004	MK098185.1_00058
OG0000014	L63545.1_00030	MK098185.1_00122
OG0000015	L63545.1_00110	MK098185.1_00123
OG0000016	L63545.1_00073	MK098185.1_00087
OG0000017	L63545.1_00072	MK098185.1_00036
OG0000018	L63545.1_00068	MK098185.1_00107
OG0000019	L63545.1_00009	MK098185.1_00086
OG0000020	L63545.1_00098	MK098185.1_00034
OG0000021	L63545.1_00043	MK098185.1_00005
OG0000022	L63545.1_00013	MK098185.1_00038
OG0000023	L63545.1_00054	MK098185.1_00047
OG0000024	L63545.1_00015	MK098185.1_00029
OG0000026	L63545.1_00002	MK098185.1_00110
OG0000027	L63545.1_00058	MK098185.1_00088
OG0000028	L63545.1_00003	MK098185.1_00050
