	23043610003	23043610005	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MT128666	MT128667	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677
23043610003	0.0	118.0	116.0	119.0	116.0	112.0	116.0	108.0	113.0	120.0	115.0	115.0	116.0	115.0	116.0	115.0	120.0	114.0	117.0	119.0	118.0	114.0	119.0	118.0	114.0	118.0	120.0	119.0	119.0	118.0	119.0	119.0	114.0	120.0	119.0	119.0	119.0	119.0	119.0	120.0	116.0	115.0	112.0	114.0	114.0	115.0	119.0	115.0	112.0	119.0	120.0	113.0	116.0	120.0	117.0	118.0	119.0	116.0
23043610005	117.0	0.0	114.0	116.0	114.0	109.0	114.0	108.0	111.0	117.0	113.0	113.0	114.0	113.0	114.0	113.0	117.0	112.0	114.0	116.0	115.0	112.0	116.0	115.0	112.0	115.0	117.0	116.0	116.0	115.0	116.0	116.0	112.0	117.0	116.0	116.0	116.0	116.0	116.0	117.0	114.0	113.0	110.0	112.0	112.0	113.0	116.0	113.0	110.0	116.0	117.0	110.0	113.0	117.0	114.0	115.0	116.0	113.0
AB104413	116.0	114.0	0.0	116.0	121.0	115.0	121.0	112.0	118.0	117.0	120.0	115.0	116.0	120.0	121.0	120.0	118.0	119.0	115.0	115.0	114.0	116.0	117.0	117.0	119.0	116.0	117.0	116.0	115.0	116.0	116.0	116.0	119.0	117.0	116.0	116.0	115.0	116.0	116.0	117.0	121.0	120.0	117.0	119.0	119.0	120.0	116.0	120.0	117.0	118.0	116.0	114.0	113.0	116.0	114.0	116.0	116.0	114.0
AF371960	118.0	116.0	116.0	0.0	116.0	111.0	116.0	110.0	113.0	120.0	115.0	115.0	115.0	115.0	116.0	115.0	120.0	114.0	117.0	118.0	117.0	114.0	119.0	117.0	114.0	118.0	120.0	119.0	117.0	117.0	119.0	119.0	114.0	120.0	119.0	119.0	118.0	119.0	119.0	121.0	116.0	116.0	112.0	114.0	114.0	115.0	119.0	115.0	112.0	118.0	119.0	113.0	117.0	119.0	116.0	119.0	118.0	116.0
AP017456	116.0	114.0	121.0	116.0	0.0	115.0	121.0	112.0	118.0	117.0	120.0	115.0	116.0	120.0	121.0	120.0	118.0	119.0	115.0	115.0	114.0	116.0	117.0	117.0	119.0	116.0	117.0	116.0	115.0	116.0	116.0	116.0	119.0	117.0	116.0	116.0	115.0	116.0	116.0	117.0	121.0	120.0	117.0	119.0	119.0	120.0	116.0	120.0	117.0	118.0	116.0	114.0	113.0	116.0	114.0	116.0	116.0	114.0
AY894343	111.0	109.0	115.0	111.0	115.0	0.0	115.0	106.0	113.0	112.0	115.0	110.0	111.0	115.0	115.0	115.0	113.0	114.0	111.0	110.0	110.0	111.0	113.0	112.0	114.0	111.0	112.0	111.0	110.0	112.0	111.0	111.0	114.0	112.0	111.0	111.0	110.0	111.0	111.0	112.0	115.0	115.0	112.0	114.0	114.0	115.0	111.0	115.0	112.0	114.0	111.0	109.0	108.0	111.0	110.0	111.0	112.0	110.0
BD143114	116.0	114.0	121.0	116.0	121.0	115.0	0.0	112.0	118.0	117.0	120.0	115.0	116.0	120.0	121.0	120.0	118.0	119.0	115.0	115.0	114.0	116.0	117.0	117.0	119.0	116.0	117.0	116.0	115.0	116.0	116.0	116.0	119.0	117.0	116.0	116.0	115.0	116.0	116.0	117.0	121.0	120.0	117.0	119.0	119.0	120.0	116.0	120.0	117.0	118.0	116.0	114.0	113.0	116.0	114.0	116.0	116.0	114.0
GQ273492	108.0	108.0	112.0	110.0	112.0	106.0	112.0	0.0	110.0	110.0	111.0	110.0	110.0	111.0	112.0	111.0	111.0	110.0	108.0	108.0	107.0	108.0	110.0	109.0	110.0	109.0	110.0	109.0	107.0	108.0	109.0	109.0	110.0	110.0	109.0	109.0	108.0	109.0	109.0	110.0	112.0	112.0	108.0	110.0	110.0	111.0	109.0	111.0	108.0	110.0	109.0	107.0	106.0	109.0	107.0	109.0	109.0	107.0
KC244182	113.0	111.0	118.0	113.0	118.0	113.0	118.0	110.0	0.0	114.0	118.0	112.0	113.0	118.0	118.0	118.0	115.0	117.0	112.0	112.0	111.0	113.0	114.0	114.0	117.0	113.0	114.0	113.0	112.0	113.0	113.0	113.0	117.0	114.0	113.0	113.0	112.0	113.0	113.0	114.0	118.0	118.0	115.0	117.0	117.0	118.0	113.0	118.0	116.0	115.0	113.0	111.0	110.0	113.0	111.0	113.0	113.0	112.0
KT781098	119.0	117.0	117.0	120.0	117.0	112.0	117.0	110.0	114.0	0.0	116.0	115.0	116.0	116.0	117.0	116.0	121.0	115.0	117.0	119.0	118.0	115.0	120.0	118.0	115.0	119.0	121.0	120.0	118.0	118.0	120.0	120.0	115.0	121.0	120.0	120.0	119.0	120.0	120.0	121.0	117.0	117.0	113.0	115.0	115.0	116.0	120.0	116.0	113.0	119.0	120.0	113.0	117.0	120.0	117.0	119.0	119.0	117.0
