Orthogroup	BD143114.1	L63545.1
OG0000000	BD143114.1_00045	L63545.1_00007
OG0000001	BD143114.1_00067	L63545.1_00035
OG0000002	BD143114.1_00068	L63545.1_00079
OG0000003	BD143114.1_00060	L63545.1_00076
OG0000004	BD143114.1_00087	L63545.1_00001
OG0000005	BD143114.1_00104	L63545.1_00056
OG0000006	BD143114.1_00001	L63545.1_00093
OG0000007	BD143114.1_00109	L63545.1_00090
OG0000008	BD143114.1_00046	L63545.1_00108
OG0000009	BD143114.1_00085	L63545.1_00024
OG0000011	BD143114.1_00013	L63545.1_00069
OG0000012	BD143114.1_00053	L63545.1_00071
OG0000013	BD143114.1_00019	L63545.1_00004
OG0000014	BD143114.1_00077	L63545.1_00030
OG0000015	BD143114.1_00076	L63545.1_00110
OG0000016	BD143114.1_00113	L63545.1_00073
OG0000017	BD143114.1_00042	L63545.1_00072
OG0000018	BD143114.1_00092	L63545.1_00068
OG0000019	BD143114.1_00114	L63545.1_00009
OG0000020	BD143114.1_00044	L63545.1_00098
OG0000021	BD143114.1_00070	L63545.1_00043
OG0000022	BD143114.1_00040	L63545.1_00013
OG0000023	BD143114.1_00031	L63545.1_00054
OG0000024	BD143114.1_00049	L63545.1_00015
OG0000026	BD143114.1_00089	L63545.1_00002
OG0000027	BD143114.1_00112	L63545.1_00058
OG0000028	BD143114.1_00028	L63545.1_00003
