Orthogroup	BD143114.1	HF920633.1
OG0000000	BD143114.1_00045	HF920633.1_00044
OG0000001	BD143114.1_00067	HF920633.1_00069
OG0000002	BD143114.1_00068	HF920633.1_00073
OG0000003	BD143114.1_00060	HF920633.1_00127
OG0000004	BD143114.1_00087	HF920633.1_00079
OG0000005	BD143114.1_00104	HF920633.1_00085
OG0000006	BD143114.1_00001	HF920633.1_00025
OG0000007	BD143114.1_00109	HF920633.1_00091
OG0000008	BD143114.1_00046	HF920633.1_00043
OG0000009	BD143114.1_00085	HF920633.1_00122
OG0000011	BD143114.1_00013	HF920633.1_00118
OG0000012	BD143114.1_00053	HF920633.1_00001
OG0000013	BD143114.1_00019	HF920633.1_00067
OG0000014	BD143114.1_00077	HF920633.1_00138
OG0000015	BD143114.1_00076	HF920633.1_00058
OG0000016	BD143114.1_00113	HF920633.1_00094
OG0000017	BD143114.1_00042	HF920633.1_00158
OG0000018	BD143114.1_00092	HF920633.1_00003
OG0000019	BD143114.1_00114	HF920633.1_00163
OG0000020	BD143114.1_00044	HF920633.1_00080
OG0000021	BD143114.1_00070	HF920633.1_00097
OG0000022	BD143114.1_00040	HF920633.1_00175
OG0000023	BD143114.1_00031	HF920633.1_00017
OG0000024	BD143114.1_00049	HF920633.1_00062
OG0000025	BD143114.1_00012	HF920633.1_00047
