Orthogroup	BD143114.1	ON743042.1
OG0000000	BD143114.1_00045	ON743042.1_00031
OG0000001	BD143114.1_00067	ON743042.1_00008
OG0000002	BD143114.1_00068	ON743042.1_00007
OG0000003	BD143114.1_00060	ON743042.1_00015
OG0000004	BD143114.1_00087	ON743042.1_00113
OG0000005	BD143114.1_00104	ON743042.1_00096
OG0000006	BD143114.1_00001	ON743042.1_00077
OG0000007	BD143114.1_00109	ON743042.1_00091
OG0000008	BD143114.1_00046	ON743042.1_00030
OG0000009	BD143114.1_00085	ON743042.1_00115
OG0000010	BD143114.1_00123	ON743042.1_00078
OG0000011	BD143114.1_00013	ON743042.1_00065
OG0000012	BD143114.1_00053	ON743042.1_00022
OG0000013	BD143114.1_00019	ON743042.1_00059
OG0000014	BD143114.1_00077	ON743042.1_00123
OG0000015	BD143114.1_00076	ON743042.1_00124
OG0000016	BD143114.1_00113	ON743042.1_00088
OG0000017	BD143114.1_00042	ON743042.1_00034
OG0000018	BD143114.1_00092	ON743042.1_00108
OG0000019	BD143114.1_00114	ON743042.1_00087
OG0000020	BD143114.1_00044	ON743042.1_00032
OG0000021	BD143114.1_00070	ON743042.1_00005
OG0000022	BD143114.1_00040	ON743042.1_00036
OG0000023	BD143114.1_00031	ON743042.1_00046
OG0000024	BD143114.1_00049	ON743042.1_00027
OG0000025	BD143114.1_00012	ON743042.1_00066
OG0000026	BD143114.1_00089	ON743042.1_00111
OG0000027	BD143114.1_00112	ON743042.1_00089
OG0000028	BD143114.1_00028	ON743042.1_00049
OG0000029	BD143114.1_00015	ON743042.1_00063
OG0000030	BD143114.1_00073	ON743042.1_00001
OG0000031	BD143114.1_00069	ON743042.1_00006
OG0000032	BD143114.1_00119	ON743042.1_00082
OG0000033	BD143114.1_00111, BD143114.1_00110	ON743042.1_00090
OG0000034	BD143114.1_00074, BD143114.1_00075	ON743042.1_00125
OG0000035	BD143114.1_00062	ON743042.1_00013
OG0000036	BD143114.1_00061	ON743042.1_00014
OG0000037	BD143114.1_00056	ON743042.1_00019
OG0000038	BD143114.1_00055	ON743042.1_00020
OG0000039	BD143114.1_00052	ON743042.1_00023
OG0000040	BD143114.1_00051	ON743042.1_00024
OG0000041	BD143114.1_00043	ON743042.1_00033
OG0000042	BD143114.1_00039	ON743042.1_00037
OG0000043	BD143114.1_00027	ON743042.1_00051
OG0000044	BD143114.1_00026	ON743042.1_00052
OG0000045	BD143114.1_00021	ON743042.1_00057
OG0000046	BD143114.1_00020	ON743042.1_00058
OG0000047	BD143114.1_00018	ON743042.1_00060
OG0000048	BD143114.1_00017	ON743042.1_00061
OG0000049	BD143114.1_00016	ON743042.1_00062
OG0000050	BD143114.1_00122	ON743042.1_00079
OG0000051	BD143114.1_00118	ON743042.1_00083
OG0000052	BD143114.1_00117	ON743042.1_00084
OG0000053	BD143114.1_00105	ON743042.1_00095
OG0000054	BD143114.1_00103	ON743042.1_00097
OG0000055	BD143114.1_00100	ON743042.1_00100
OG0000056	BD143114.1_00088	ON743042.1_00112
OG0000057	BD143114.1_00083	ON743042.1_00117
OG0000058	BD143114.1_00081	ON743042.1_00119
OG0000059	BD143114.1_00072	ON743042.1_00002
OG0000060	BD143114.1_00065	ON743042.1_00010
OG0000061	BD143114.1_00057	ON743042.1_00018
OG0000062	BD143114.1_00108	ON743042.1_00092
OG0000063	BD143114.1_00004	ON743042.1_00074
OG0000064	BD143114.1_00058	ON743042.1_00017
OG0000065	BD143114.1_00037	ON743042.1_00040
OG0000066	BD143114.1_00033	ON743042.1_00044
OG0000067	BD143114.1_00029	ON743042.1_00048
OG0000068	BD143114.1_00009	ON743042.1_00069
OG0000069	BD143114.1_00101	ON743042.1_00099
OG0000070	BD143114.1_00099	ON743042.1_00101
OG0000071	BD143114.1_00084	ON743042.1_00116
OG0000072	BD143114.1_00066	ON743042.1_00009
OG0000073	BD143114.1_00063	ON743042.1_00012
OG0000074	BD143114.1_00059	ON743042.1_00016
OG0000075	BD143114.1_00041	ON743042.1_00035
OG0000076	BD143114.1_00038	ON743042.1_00038
OG0000077	BD143114.1_00035	ON743042.1_00042
OG0000078	BD143114.1_00034	ON743042.1_00043
OG0000079	BD143114.1_00030	ON743042.1_00047
OG0000080	BD143114.1_00025	ON743042.1_00053
OG0000081	BD143114.1_00024	ON743042.1_00054
OG0000082	BD143114.1_00023	ON743042.1_00055
OG0000083	BD143114.1_00014	ON743042.1_00064
OG0000084	BD143114.1_00011	ON743042.1_00067
OG0000085	BD143114.1_00008	ON743042.1_00070
OG0000086	BD143114.1_00007	ON743042.1_00071
OG0000087	BD143114.1_00003	ON743042.1_00075
OG0000088	BD143114.1_00002	ON743042.1_00076
OG0000089	BD143114.1_00116	ON743042.1_00085
OG0000090	BD143114.1_00115	ON743042.1_00086
OG0000091	BD143114.1_00102	ON743042.1_00098
OG0000092	BD143114.1_00098	ON743042.1_00102
OG0000093	BD143114.1_00094	ON743042.1_00106
OG0000094	BD143114.1_00091	ON743042.1_00109
OG0000095	BD143114.1_00090	ON743042.1_00110
OG0000096	BD143114.1_00079	ON743042.1_00121
OG0000098	BD143114.1_00071	ON743042.1_00004
OG0000099	BD143114.1_00036	ON743042.1_00041
OG0000100	BD143114.1_00032	ON743042.1_00045
OG0000101	BD143114.1_00006	ON743042.1_00072
OG0000102	BD143114.1_00121	ON743042.1_00080
OG0000103	BD143114.1_00097	ON743042.1_00103
OG0000104	BD143114.1_00093	ON743042.1_00107
OG0000105	BD143114.1_00082	ON743042.1_00118
OG0000106	BD143114.1_00047	ON743042.1_00029
OG0000107	BD143114.1_00096	ON743042.1_00104
OG0000108	BD143114.1_00078	ON743042.1_00122
OG0000109	BD143114.1_00005	ON743042.1_00073
OG0000110	BD143114.1_00080	ON743042.1_00120
OG0000111	BD143114.1_00106	ON743042.1_00094
OG0000112	BD143114.1_00120	ON743042.1_00081
OG0000114	BD143114.1_00054	ON743042.1_00021
OG0000115	BD143114.1_00064	ON743042.1_00011
OG0000116	BD143114.1_00022	ON743042.1_00056
OG0000117	BD143114.1_00010	ON743042.1_00068
OG0000120	BD143114.1_00095	ON743042.1_00105
OG0000121	BD143114.1_00086	ON743042.1_00114
OG0000125	BD143114.1_00048	ON743042.1_00028
OG0000127	BD143114.1_00050	ON743042.1_00026
