Orthogroup	OQ475017.1	MT986830.1
OG0000000	OQ475017.1_00030	MT986830.1_00033
OG0000001	OQ475017.1_00007	MT986830.1_00007
OG0000002	OQ475017.1_00074	MT986830.1_00081
OG0000003	OQ475017.1_00008	MT986830.1_00008
OG0000004	OQ475017.1_00015	MT986830.1_00015
OG0000005	OQ475017.1_00029	MT986830.1_00032
OG0000006	OQ475017.1_00073	MT986830.1_00080
OG0000007	OQ475017.1_00087	MT986830.1_00094
OG0000008	OQ475017.1_00110	MT986830.1_00116
OG0000009	OQ475017.1_00112	MT986830.1_00117
OG0000010	OQ475017.1_00005	MT986830.1_00005
OG0000011	OQ475017.1_00022	MT986830.1_00022
OG0000012	OQ475017.1_00031	MT986830.1_00034
OG0000013	OQ475017.1_00033	MT986830.1_00036
OG0000014	OQ475017.1_00035	MT986830.1_00038
OG0000015	OQ475017.1_00056	MT986830.1_00059
OG0000016	OQ475017.1_00062	MT986830.1_00065
OG0000017	OQ475017.1_00083	MT986830.1_00090
OG0000018	OQ475017.1_00084	MT986830.1_00091
OG0000019	OQ475017.1_00105	MT986830.1_00111
OG0000020	OQ475017.1_00120	MT986830.1_00125
OG0000021	OQ475017.1_00121	MT986830.1_00126
OG0000022	OQ475017.1_00044	MT986830.1_00046
OG0000023	OQ475017.1_00093	MT986830.1_00100
OG0000024	OQ475017.1_00108	MT986830.1_00114
OG0000025	OQ475017.1_00063	MT986830.1_00066
OG0000026	OQ475017.1_00085	MT986830.1_00092
OG0000027	OQ475017.1_00047	MT986830.1_00049
OG0000028	OQ475017.1_00006	MT986830.1_00006
OG0000029	OQ475017.1_00060	MT986830.1_00063
OG0000030	OQ475017.1_00001	MT986830.1_00001
OG0000031	OQ475017.1_00078	MT986830.1_00085
OG0000032	OQ475017.1_00086	MT986830.1_00093
OG0000033	OQ475017.1_00122	MT986830.1_00127
OG0000034	OQ475017.1_00013	MT986830.1_00013
OG0000035	OQ475017.1_00014	MT986830.1_00014
OG0000036	OQ475017.1_00019	MT986830.1_00019
OG0000037	OQ475017.1_00020	MT986830.1_00020
OG0000038	OQ475017.1_00023	MT986830.1_00023
OG0000039	OQ475017.1_00024	MT986830.1_00024
OG0000040	OQ475017.1_00032	MT986830.1_00035
OG0000041	OQ475017.1_00036	MT986830.1_00039
OG0000042	OQ475017.1_00048	MT986830.1_00051
OG0000043	OQ475017.1_00049	MT986830.1_00052
OG0000044	OQ475017.1_00054	MT986830.1_00057
OG0000045	OQ475017.1_00055	MT986830.1_00058
OG0000046	OQ475017.1_00057	MT986830.1_00060
OG0000047	OQ475017.1_00058	MT986830.1_00061
OG0000048	OQ475017.1_00059	MT986830.1_00062
OG0000049	OQ475017.1_00075	MT986830.1_00082
OG0000050	OQ475017.1_00079	MT986830.1_00086
OG0000051	OQ475017.1_00080	MT986830.1_00087
OG0000052	OQ475017.1_00092	MT986830.1_00099
OG0000053	OQ475017.1_00094	MT986830.1_00101
OG0000054	OQ475017.1_00097	MT986830.1_00104
OG0000055	OQ475017.1_00109	MT986830.1_00115
OG0000056	OQ475017.1_00114	MT986830.1_00119
OG0000057	OQ475017.1_00116	MT986830.1_00121
OG0000058	OQ475017.1_00002	MT986830.1_00002
OG0000059	OQ475017.1_00010	MT986830.1_00010
OG0000060	OQ475017.1_00018	MT986830.1_00018
OG0000061	OQ475017.1_00088	MT986830.1_00095
OG0000062	OQ475017.1_00027	MT986830.1_00029
OG0000063	OQ475017.1_00070	MT986830.1_00075
OG0000064	OQ475017.1_00017	MT986830.1_00017
OG0000065	OQ475017.1_00038	MT986830.1_00041
OG0000066	OQ475017.1_00042	MT986830.1_00044
OG0000067	OQ475017.1_00046	MT986830.1_00048
