Orthogroup	OQ475017.1	OL310752.1
OG0000000	OQ475017.1_00030	OL310752.1_00108, OL310752.1_00113
OG0000001	OQ475017.1_00007	OL310752.1_00019
OG0000002	OQ475017.1_00074	OL310752.1_00077, OL310752.1_00120
OG0000003	OQ475017.1_00008	OL310752.1_00018
OG0000004	OQ475017.1_00015	OL310752.1_00012
OG0000005	OQ475017.1_00029	OL310752.1_00107
OG0000006	OQ475017.1_00073	OL310752.1_00078
OG0000007	OQ475017.1_00087	OL310752.1_00042
OG0000008	OQ475017.1_00110	OL310752.1_00060
OG0000009	OQ475017.1_00112	OL310752.1_00116
OG0000010	OQ475017.1_00005	OL310752.1_00021
OG0000011	OQ475017.1_00022	OL310752.1_00004
OG0000012	OQ475017.1_00031	OL310752.1_00114
OG0000013	OQ475017.1_00033	OL310752.1_00085
OG0000014	OQ475017.1_00035	OL310752.1_00083
OG0000015	OQ475017.1_00056	OL310752.1_00096
OG0000016	OQ475017.1_00062	OL310752.1_00027
OG0000017	OQ475017.1_00083	OL310752.1_00046
OG0000018	OQ475017.1_00084	OL310752.1_00045
OG0000019	OQ475017.1_00105	OL310752.1_00065
OG0000020	OQ475017.1_00120	OL310752.1_00071
OG0000021	OQ475017.1_00121	OL310752.1_00072
OG0000022	OQ475017.1_00044	OL310752.1_00052
OG0000023	OQ475017.1_00093	OL310752.1_00036
OG0000024	OQ475017.1_00108	OL310752.1_00062
OG0000025	OQ475017.1_00063	OL310752.1_00028
OG0000026	OQ475017.1_00085	OL310752.1_00044
OG0000027	OQ475017.1_00047	OL310752.1_00087
OG0000028	OQ475017.1_00006	OL310752.1_00020
OG0000029	OQ475017.1_00060	OL310752.1_00025
OG0000030	OQ475017.1_00001	OL310752.1_00074
OG0000032	OQ475017.1_00086	OL310752.1_00043
OG0000033	OQ475017.1_00122	OL310752.1_00073
OG0000034	OQ475017.1_00013	OL310752.1_00014
OG0000035	OQ475017.1_00014	OL310752.1_00013
OG0000036	OQ475017.1_00019	OL310752.1_00007
OG0000037	OQ475017.1_00020	OL310752.1_00006
OG0000038	OQ475017.1_00023	OL310752.1_00003
OG0000039	OQ475017.1_00024	OL310752.1_00002
