Orthogroup	NC_005946	KX643370
OG0000000	NC_005946.1_00010 hypothetical protein	Lymph_LDV3_KX643370_00131 hypothetical protein
OG0000001	NC_005946.1_00057 hypothetical protein	Lymph_LDV3_KX643370_00120 hypothetical protein
OG0000002	NC_005946.1_00053 hypothetical protein	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein
OG0000003	NC_005946.1_00095 hypothetical protein	Lymph_LDV3_KX643370_00137 hypothetical protein
OG0000004	NC_005946.1_00092 hypothetical protein	Lymph_LDV3_KX643370_00107 hypothetical protein
OG0000005	NC_005946.1_00011 hypothetical protein	Lymph_LDV3_KX643370_00094 hypothetical protein
OG0000006	NC_005946.1_00060 hypothetical protein	Lymph_LDV3_KX643370_00117 hypothetical protein
OG0000007	NC_005946.1_00022 hypothetical protein	Lymph_LDV3_KX643370_00044 hypothetical protein
OG0000008	NC_005946.1_00016 hypothetical protein	Lymph_LDV3_KX643370_00056 hypothetical protein
OG0000009	NC_005946.1_00021 hypothetical protein	Lymph_LDV3_KX643370_00091 hypothetical protein
OG0000010	NC_005946.1_00087 hypothetical protein	Lymph_LDV3_KX643370_00040 hypothetical protein
OG0000011	NC_005946.1_00023 hypothetical protein	Lymph_LDV3_KX643370_00095 hypothetical protein
OG0000012	NC_005946.1_00091 Major capsid protein	Lymph_LDV3_KX643370_00051 Major capsid protein
OG0000013	NC_005946.1_00094 hypothetical protein	Lymph_LDV3_KX643370_00075 hypothetical protein
OG0000014	NC_005946.1_00002 hypothetical protein	Lymph_LDV3_KX643370_00061 hypothetical protein
OG0000015	NC_005946.1_00083 hypothetical protein	Lymph_LDV3_KX643370_00057 hypothetical protein
OG0000016	NC_005946.1_00038 hypothetical protein	Lymph_LDV3_KX643370_00077 hypothetical protein
OG0000017	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit	Lymph_LDV3_KX643370_00049 hypothetical protein
OG0000018	NC_005946.1_00082 hypothetical protein	Lymph_LDV3_KX643370_00126 hypothetical protein
OG0000019	NC_005946.1_00028 hypothetical protein	Lymph_LDV3_KX643370_00135 hypothetical protein
OG0000020	NC_005946.1_00014 hypothetical protein	Lymph_LDV3_KX643370_00055 hypothetical protein
OG0000021	NC_005946.1_00067 hypothetical protein	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain
OG0000022	NC_005946.1_00089 hypothetical protein	Lymph_LDV3_KX643370_00089 hypothetical protein
OG0000023	NC_005946.1_00042 hypothetical protein	Lymph_LDV3_KX643370_00004 hypothetical protein
OG0000027	NC_005946.1_00049 hypothetical protein	Lymph_LDV3_KX643370_00015 hypothetical protein
OG0000028	NC_005946.1_00086 hypothetical protein	Lymph_LDV3_KX643370_00119 hypothetical protein
OG0000029	NC_005946.1_00085 hypothetical protein	Lymph_LDV3_KX643370_00096 hypothetical protein
OG0000114	NC_005946.1_00020 hypothetical protein	Lymph_LDV3_KX643370_00133 hypothetical protein, Lymph_LDV3_KX643370_00079 hypothetical protein, Lymph_LDV3_KX643370_00125 hypothetical protein, Lymph_LDV3_KX643370_00048 hypothetical protein
OG0000130	NC_005946.1_00001 hypothetical protein	Lymph_LDV3_KX643370_00121 hypothetical protein
OG0000133	NC_005946.1_00039 Ribonucleoside-diphosphate reductase large subunit	Lymph_LDV3_KX643370_00139 Ribonucleoside-diphosphate reductase large subunit
OG0000148	NC_005946.1_00052 hypothetical protein	Lymph_LDV3_KX643370_00047 hypothetical protein
OG0000150	NC_005946.1_00044 hypothetical protein	Lymph_LDV3_KX643370_00149 hypothetical protein
OG0000153	NC_005946.1_00075 hypothetical protein	Lymph_LDV3_KX643370_00090 hypothetical protein
OG0000167	NC_005946.1_00026 hypothetical protein	Lymph_LDV3_KX643370_00060 hypothetical protein
OG0000168	NC_005946.1_00033 hypothetical protein	Lymph_LDV3_KX643370_00059 hypothetical protein
OG0000169	NC_005946.1_00029 hypothetical protein	Lymph_LDV3_KX643370_00080 hypothetical protein
OG0000195	NC_005946.1_00062 hypothetical protein	Lymph_LDV3_KX643370_00021 hypothetical protein
OG0000218	NC_005946.1_00051 hypothetical protein	Lymph_LDV3_KX643370_00106 hypothetical protein
OG0000220	NC_005946.1_00088 hypothetical protein	Lymph_LDV3_KX643370_00046 hypothetical protein
OG0000221	NC_005946.1_00096 hypothetical protein	Lymph_LDV3_KX643370_00054 hypothetical protein
OG0000222	NC_005946.1_00015 hypothetical protein	Lymph_LDV3_KX643370_00146 hypothetical protein
OG0000223	NC_005946.1_00073 hypothetical protein	Lymph_LDV3_KX643370_00102 hypothetical protein
OG0000241	NC_005946.1_00034 hypothetical protein	Lymph_LDV3_KX643370_00037 hypothetical protein
OG0000242	NC_005946.1_00064 hypothetical protein	Lymph_LDV3_KX643370_00151 hypothetical protein
