Orthogroup	NC_005946	MT926123
OG0000000	NC_005946.1_00010 hypothetical protein	AF371960.1_00031 hypothetical protein
OG0000001	NC_005946.1_00057 hypothetical protein	AF371960.1_00015 hypothetical protein
OG0000002	NC_005946.1_00053 hypothetical protein	AF371960.1_00008 hypothetical protein
OG0000003	NC_005946.1_00095 hypothetical protein	AF371960.1_00030 hypothetical protein
OG0000004	NC_005946.1_00092 hypothetical protein	AF371960.1_00113 hypothetical protein
OG0000005	NC_005946.1_00011 hypothetical protein	AF371960.1_00064 hypothetical protein
OG0000006	NC_005946.1_00060 hypothetical protein	AF371960.1_00021 hypothetical protein
OG0000007	NC_005946.1_00022 hypothetical protein	AF371960.1_00057 hypothetical protein
OG0000008	NC_005946.1_00016 hypothetical protein	AF371960.1_00121 hypothetical protein
OG0000009	NC_005946.1_00021 hypothetical protein	AF371960.1_00122 hypothetical protein
OG0000010	NC_005946.1_00087 hypothetical protein	AF371960.1_00034 hypothetical protein
OG0000011	NC_005946.1_00023 hypothetical protein	AF371960.1_00107 hypothetical protein
OG0000012	NC_005946.1_00091 Major capsid protein	AF371960.1_00007 Major capsid protein
OG0000013	NC_005946.1_00094 hypothetical protein	AF371960.1_00088 hypothetical protein
OG0000014	NC_005946.1_00002 hypothetical protein	AF371960.1_00092 hypothetical protein
OG0000015	NC_005946.1_00083 hypothetical protein	AF371960.1_00032 hypothetical protein
OG0000016	NC_005946.1_00038 hypothetical protein	AF371960.1_00005 hypothetical protein
OG0000017	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit	AF371960.1_00036 DNA-directed RNA polymerase subunit 2
OG0000018	NC_005946.1_00082 hypothetical protein	AF371960.1_00089 hypothetical protein
OG0000019	NC_005946.1_00028 hypothetical protein	AF371960.1_00112 hypothetical protein
OG0000020	NC_005946.1_00014 hypothetical protein	AF371960.1_00096 hypothetical protein
OG0000021	NC_005946.1_00067 hypothetical protein	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain
OG0000022	NC_005946.1_00089 hypothetical protein	AF371960.1_00045 hypothetical protein
OG0000023	NC_005946.1_00042 hypothetical protein	AF371960.1_00078 hypothetical protein
OG0000027	NC_005946.1_00049 hypothetical protein	AF371960.1_00090 hypothetical protein
OG0000028	NC_005946.1_00086 hypothetical protein	AF371960.1_00110 hypothetical protein
OG0000029	NC_005946.1_00085 hypothetical protein	AF371960.1_00048 hypothetical protein
