Orthogroup	OL310752.1	NC_027778.1
OG0000000	OL310752.1_00108, OL310752.1_00113	NC_027778.1_00083
OG0000001	OL310752.1_00018	NC_027778.1_00062
OG0000002	OL310752.1_00019	NC_027778.1_00061
OG0000003	OL310752.1_00012	NC_027778.1_00068
OG0000004	OL310752.1_00060	NC_027778.1_00040
OG0000005	OL310752.1_00036	NC_027778.1_00036
OG0000006	OL310752.1_00078	NC_027778.1_00098
OG0000007	OL310752.1_00042	NC_027778.1_00032
OG0000008	OL310752.1_00107	NC_027778.1_00080
OG0000009	OL310752.1_00116	NC_027778.1_00039
OG0000010	OL310752.1_00077, OL310752.1_00120	NC_027778.1_00123, NC_027778.1_00122, NC_027778.1_00131, NC_027778.1_00114, NC_027778.1_00120
OG0000011	OL310752.1_00027	NC_027778.1_00111
OG0000012	OL310752.1_00004	NC_027778.1_00077
OG0000013	OL310752.1_00096	NC_027778.1_00018
OG0000014	OL310752.1_00071	NC_027778.1_00038
OG0000015	OL310752.1_00072	NC_027778.1_00116
OG0000016	OL310752.1_00045	NC_027778.1_00027
OG0000017	OL310752.1_00085	NC_027778.1_00132
OG0000018	OL310752.1_00065	NC_027778.1_00043
OG0000019	OL310752.1_00046	NC_027778.1_00026
OG0000020	OL310752.1_00114	NC_027778.1_00133
OG0000021	OL310752.1_00021	NC_027778.1_00106
OG0000022	OL310752.1_00083	NC_027778.1_00129
OG0000023	OL310752.1_00052	NC_027778.1_00003
OG0000024	OL310752.1_00104	NC_027778.1_00054
OG0000025	OL310752.1_00028	NC_027778.1_00094, NC_027778.1_00095
OG0000026	OL310752.1_00062	NC_027778.1_00042
OG0000027	OL310752.1_00044	NC_027778.1_00029
OG0000028	OL310752.1_00087	NC_027778.1_00006
OG0000029	OL310752.1_00025	NC_027778.1_00021
OG0000030	OL310752.1_00074	NC_027778.1_00088
OG0000031	OL310752.1_00020	NC_027778.1_00108
OG0000032	OL310752.1_00124	NC_027778.1_00100
OG0000033	OL310752.1_00043	NC_027778.1_00030
OG0000034	OL310752.1_00073	NC_027778.1_00090
OG0000035	OL310752.1_00014	NC_027778.1_00067
OG0000036	OL310752.1_00013	NC_027778.1_00115
OG0000037	OL310752.1_00007	NC_027778.1_00072
OG0000038	OL310752.1_00006	NC_027778.1_00073
OG0000039	OL310752.1_00003	NC_027778.1_00078
OG0000040	OL310752.1_00002	NC_027778.1_00070
OG0000041	OL310752.1_00115	NC_027778.1_00117
OG0000042	OL310752.1_00082	NC_027778.1_00134
OG0000043	OL310752.1_00088	NC_027778.1_00010
OG0000044	OL310752.1_00089	NC_027778.1_00011
OG0000045	OL310752.1_00094	NC_027778.1_00016
OG0000046	OL310752.1_00095	NC_027778.1_00017
OG0000047	OL310752.1_00022	NC_027778.1_00019
OG0000048	OL310752.1_00023	NC_027778.1_00031
OG0000049	OL310752.1_00024	NC_027778.1_00020
OG0000050	OL310752.1_00121	NC_027778.1_00099
OG0000051	OL310752.1_00123	NC_027778.1_00101
OG0000052	OL310752.1_00049	NC_027778.1_00126
OG0000053	OL310752.1_00037	NC_027778.1_00035
OG0000054	OL310752.1_00035	NC_027778.1_00086
OG0000055	OL310752.1_00112	NC_027778.1_00085
OG0000056	OL310752.1_00061	NC_027778.1_00041
OG0000057	OL310752.1_00119	NC_027778.1_00037
OG0000058	OL310752.1_00067	NC_027778.1_00121
OG0000059	OL310752.1_00075	NC_027778.1_00087
OG0000060	OL310752.1_00016	NC_027778.1_00064
OG0000061	OL310752.1_00008	NC_027778.1_00071
OG0000062	OL310752.1_00041	NC_027778.1_00033
OG0000096	OL310752.1_00069	NC_027778.1_00025
OG0000114	OL310752.1_00005	NC_027778.1_00076
