Orthogroup	OL310752.1	LS484712.1
OG0000000	OL310752.1_00108, OL310752.1_00113	LS484712.1_00114
OG0000001	OL310752.1_00018	LS484712.1_00095
OG0000002	OL310752.1_00019	LS484712.1_00142
OG0000003	OL310752.1_00012	LS484712.1_00187
OG0000005	OL310752.1_00036	LS484712.1_00256
OG0000006	OL310752.1_00078	LS484712.1_00040
OG0000007	OL310752.1_00042	LS484712.1_00234, LS484712.1_00050
OG0000008	OL310752.1_00107	LS484712.1_00248
OG0000009	OL310752.1_00116	LS484712.1_00130
OG0000011	OL310752.1_00027	LS484712.1_00203
OG0000012	OL310752.1_00004	LS484712.1_00200
OG0000013	OL310752.1_00096	LS484712.1_00143
OG0000014	OL310752.1_00071	LS484712.1_00202
OG0000015	OL310752.1_00072	LS484712.1_00135
OG0000016	OL310752.1_00045	LS484712.1_00048
OG0000017	OL310752.1_00085	LS484712.1_00240
OG0000018	OL310752.1_00065	LS484712.1_00053
OG0000019	OL310752.1_00046	LS484712.1_00192
OG0000020	OL310752.1_00114	LS484712.1_00188
OG0000021	OL310752.1_00021	LS484712.1_00096
OG0000022	OL310752.1_00083	LS484712.1_00194
OG0000023	OL310752.1_00052	LS484712.1_00117
OG0000024	OL310752.1_00104	LS484712.1_00149
OG0000068	OL310752.1_00031	LS484712.1_00002
