Orthogroup	MT986830.1	MF599468.1
OG0000000	MT986830.1_00033	MF599468.1_00057, MF599468.1_00056
OG0000001	MT986830.1_00007	MF599468.1_00152
OG0000003	MT986830.1_00008	MF599468.1_00163
OG0000004	MT986830.1_00015	MF599468.1_00011
OG0000005	MT986830.1_00032	MF599468.1_00030
OG0000006	MT986830.1_00080	MF599468.1_00010
OG0000007	MT986830.1_00094	MF599468.1_00174
OG0000008	MT986830.1_00116	MF599468.1_00092
OG0000009	MT986830.1_00117	MF599468.1_00075
OG0000010	MT986830.1_00005	MF599468.1_00116
OG0000011	MT986830.1_00022	MF599468.1_00112
OG0000012	MT986830.1_00034	MF599468.1_00090
OG0000013	MT986830.1_00036	MF599468.1_00035
OG0000014	MT986830.1_00038	MF599468.1_00071
OG0000015	MT986830.1_00059	MF599468.1_00033
OG0000016	MT986830.1_00065	MF599468.1_00149
OG0000017	MT986830.1_00090	MF599468.1_00106
OG0000018	MT986830.1_00091	MF599468.1_00046
OG0000019	MT986830.1_00111	MF599468.1_00117
OG0000020	MT986830.1_00125	MF599468.1_00122
OG0000021	MT986830.1_00126	MF599468.1_00009
OG0000022	MT986830.1_00046	MF599468.1_00171
OG0000023	MT986830.1_00100	MF599468.1_00154
OG0000024	MT986830.1_00114	MF599468.1_00039
OG0000046	MT986830.1_00060	MF599468.1_00013
OG0000069	MT986830.1_00103	MF599468.1_00131
