Orthogroup	MT986830.1	KF938901.1
OG0000000	MT986830.1_00033	KF938901.1_00126
OG0000001	MT986830.1_00007	KF938901.1_00044
OG0000003	MT986830.1_00008	KF938901.1_00080
OG0000004	MT986830.1_00015	KF938901.1_00005
OG0000005	MT986830.1_00032	KF938901.1_00067
OG0000006	MT986830.1_00080	KF938901.1_00072
OG0000007	MT986830.1_00094	KF938901.1_00053
OG0000008	MT986830.1_00116	KF938901.1_00043
OG0000009	MT986830.1_00117	KF938901.1_00114
OG0000010	MT986830.1_00005	KF938901.1_00124
OG0000011	MT986830.1_00022	KF938901.1_00054
OG0000012	MT986830.1_00034	KF938901.1_00047
OG0000013	MT986830.1_00036	KF938901.1_00123
OG0000014	MT986830.1_00038	KF938901.1_00023
OG0000015	MT986830.1_00059	KF938901.1_00060
OG0000016	MT986830.1_00065	KF938901.1_00092
OG0000017	MT986830.1_00090	KF938901.1_00012
OG0000018	MT986830.1_00091	KF938901.1_00046
OG0000019	MT986830.1_00111	KF938901.1_00025
OG0000020	MT986830.1_00125	KF938901.1_00074
OG0000021	MT986830.1_00126	KF938901.1_00095
OG0000022	MT986830.1_00046	KF938901.1_00031
OG0000025	MT986830.1_00066	KF938901.1_00093
