Orthogroup	MT986830.1	MG570131.1
OG0000000	MT986830.1_00033	MG570131.1_00031
OG0000001	MT986830.1_00007	MG570131.1_00007, MG570131.1_00008
OG0000002	MT986830.1_00081	MG570131.1_00074
OG0000003	MT986830.1_00008	MG570131.1_00009
OG0000004	MT986830.1_00015	MG570131.1_00016
OG0000005	MT986830.1_00032	MG570131.1_00030
OG0000006	MT986830.1_00080	MG570131.1_00073
OG0000007	MT986830.1_00094	MG570131.1_00087
OG0000008	MT986830.1_00116	MG570131.1_00108
OG0000009	MT986830.1_00117	MG570131.1_00110
OG0000010	MT986830.1_00005	MG570131.1_00005
OG0000011	MT986830.1_00022	MG570131.1_00023
OG0000012	MT986830.1_00034	MG570131.1_00032
OG0000013	MT986830.1_00036	MG570131.1_00034
OG0000014	MT986830.1_00038	MG570131.1_00036
OG0000015	MT986830.1_00059	MG570131.1_00057
OG0000016	MT986830.1_00065	MG570131.1_00063
OG0000017	MT986830.1_00090	MG570131.1_00083
OG0000018	MT986830.1_00091	MG570131.1_00084
OG0000019	MT986830.1_00111	MG570131.1_00103
OG0000020	MT986830.1_00125	MG570131.1_00118
OG0000021	MT986830.1_00126	MG570131.1_00119
OG0000022	MT986830.1_00046	MG570131.1_00045
OG0000023	MT986830.1_00100	MG570131.1_00092
OG0000024	MT986830.1_00114	MG570131.1_00106
OG0000025	MT986830.1_00066	MG570131.1_00064
OG0000026	MT986830.1_00092	MG570131.1_00085
OG0000027	MT986830.1_00049	MG570131.1_00048
OG0000028	MT986830.1_00006	MG570131.1_00006
OG0000029	MT986830.1_00063	MG570131.1_00061
OG0000030	MT986830.1_00001	MG570131.1_00001
OG0000031	MT986830.1_00085	MG570131.1_00078
OG0000032	MT986830.1_00093	MG570131.1_00086
OG0000033	MT986830.1_00127	MG570131.1_00120
OG0000034	MT986830.1_00013	MG570131.1_00014
OG0000035	MT986830.1_00014	MG570131.1_00015
OG0000036	MT986830.1_00019	MG570131.1_00020
OG0000037	MT986830.1_00020	MG570131.1_00021
OG0000038	MT986830.1_00023	MG570131.1_00024
OG0000039	MT986830.1_00024	MG570131.1_00025
OG0000040	MT986830.1_00035	MG570131.1_00033
OG0000041	MT986830.1_00039	MG570131.1_00037
OG0000042	MT986830.1_00051	MG570131.1_00049
OG0000043	MT986830.1_00052	MG570131.1_00050
OG0000044	MT986830.1_00057	MG570131.1_00055
OG0000045	MT986830.1_00058	MG570131.1_00056
OG0000046	MT986830.1_00060	MG570131.1_00058
OG0000047	MT986830.1_00061	MG570131.1_00059
OG0000048	MT986830.1_00062	MG570131.1_00060
OG0000049	MT986830.1_00082	MG570131.1_00075
OG0000050	MT986830.1_00086	MG570131.1_00079
OG0000051	MT986830.1_00087	MG570131.1_00080
OG0000052	MT986830.1_00099	MG570131.1_00091
OG0000053	MT986830.1_00101	MG570131.1_00093
OG0000054	MT986830.1_00104	MG570131.1_00096
OG0000055	MT986830.1_00115	MG570131.1_00107
OG0000056	MT986830.1_00119	MG570131.1_00112
OG0000057	MT986830.1_00121	MG570131.1_00114
OG0000058	MT986830.1_00002	MG570131.1_00002
OG0000059	MT986830.1_00010	MG570131.1_00011
OG0000060	MT986830.1_00018	MG570131.1_00019
OG0000061	MT986830.1_00095	MG570131.1_00088
OG0000062	MT986830.1_00029	MG570131.1_00027
OG0000063	MT986830.1_00075	MG570131.1_00070
OG0000064	MT986830.1_00017	MG570131.1_00018
OG0000065	MT986830.1_00041	MG570131.1_00039
OG0000066	MT986830.1_00044	MG570131.1_00043
OG0000067	MT986830.1_00048	MG570131.1_00047
OG0000068	MT986830.1_00069	MG570131.1_00066
OG0000069	MT986830.1_00103	MG570131.1_00095
OG0000070	MT986830.1_00105	MG570131.1_00097
OG0000071	MT986830.1_00118	MG570131.1_00111
OG0000072	MT986830.1_00009	MG570131.1_00010
OG0000073	MT986830.1_00012	MG570131.1_00013
OG0000074	MT986830.1_00016	MG570131.1_00017
OG0000075	MT986830.1_00037	MG570131.1_00035
OG0000076	MT986830.1_00040	MG570131.1_00038
OG0000077	MT986830.1_00042	MG570131.1_00041
OG0000078	MT986830.1_00043	MG570131.1_00042
OG0000079	MT986830.1_00047	MG570131.1_00046
OG0000080	MT986830.1_00053	MG570131.1_00051
OG0000081	MT986830.1_00054	MG570131.1_00052
OG0000082	MT986830.1_00055	MG570131.1_00053
OG0000083	MT986830.1_00064	MG570131.1_00062
OG0000084	MT986830.1_00067	MG570131.1_00065
OG0000085	MT986830.1_00071	MG570131.1_00067
