Orthogroup	HF920637.1	GQ273492.1
OG0000000	HF920637.1_00129, HF920637.1_00164	GQ273492.1_00030
OG0000001	HF920637.1_00059	GQ273492.1_00008
OG0000002	HF920637.1_00143	GQ273492.1_00007
OG0000003	HF920637.1_00159	GQ273492.1_00015
OG0000004	HF920637.1_00025	GQ273492.1_00108
OG0000005	HF920637.1_00221	GQ273492.1_00092
OG0000006	HF920637.1_00121	GQ273492.1_00073
OG0000007	HF920637.1_00172	GQ273492.1_00087
OG0000008	HF920637.1_00176, HF920637.1_00175	GQ273492.1_00029
OG0000009	HF920637.1_00153	GQ273492.1_00110
OG0000011	HF920637.1_00217	GQ273492.1_00063
OG0000012	HF920637.1_00001	GQ273492.1_00022
OG0000013	HF920637.1_00017	GQ273492.1_00056
OG0000014	HF920637.1_00108	GQ273492.1_00118
OG0000015	HF920637.1_00152	GQ273492.1_00119
OG0000016	HF920637.1_00079	GQ273492.1_00084
OG0000017	HF920637.1_00073	GQ273492.1_00033
OG0000018	HF920637.1_00111	GQ273492.1_00103
OG0000019	HF920637.1_00197	GQ273492.1_00083
OG0000020	HF920637.1_00031	GQ273492.1_00031
OG0000021	HF920637.1_00041	GQ273492.1_00005
OG0000022	HF920637.1_00213	GQ273492.1_00035
OG0000023	HF920637.1_00033	GQ273492.1_00044
OG0000024	HF920637.1_00061	GQ273492.1_00027
OG0000025	HF920637.1_00156	GQ273492.1_00064
OG0000031	HF920637.1_00127	GQ273492.1_00006
