Orthogroup	HF920637.1	MN432490.1
OG0000000	HF920637.1_00129, HF920637.1_00164	MN432490.1_00032
OG0000001	HF920637.1_00059	MN432490.1_00008
OG0000002	HF920637.1_00143	MN432490.1_00007
OG0000003	HF920637.1_00159	MN432490.1_00015
OG0000004	HF920637.1_00025	MN432490.1_00113
OG0000005	HF920637.1_00221	MN432490.1_00097
OG0000006	HF920637.1_00121	MN432490.1_00078
OG0000007	HF920637.1_00172	MN432490.1_00092
OG0000008	HF920637.1_00176, HF920637.1_00175	MN432490.1_00031
OG0000009	HF920637.1_00153	MN432490.1_00114
OG0000011	HF920637.1_00217	MN432490.1_00064
OG0000012	HF920637.1_00001	MN432490.1_00023
OG0000013	HF920637.1_00017	MN432490.1_00058
OG0000014	HF920637.1_00108	MN432490.1_00122
OG0000015	HF920637.1_00152	MN432490.1_00123
OG0000016	HF920637.1_00079	MN432490.1_00089
OG0000017	HF920637.1_00073	MN432490.1_00035
OG0000018	HF920637.1_00111	MN432490.1_00108
OG0000019	HF920637.1_00197	MN432490.1_00088
OG0000020	HF920637.1_00031	MN432490.1_00033
OG0000021	HF920637.1_00041	MN432490.1_00005
OG0000022	HF920637.1_00213	MN432490.1_00037
OG0000023	HF920637.1_00033	MN432490.1_00046
OG0000024	HF920637.1_00061	MN432490.1_00028
OG0000025	HF920637.1_00156	MN432490.1_00065
OG0000031	HF920637.1_00127	MN432490.1_00006
