Orthogroup	AF303741	HF920633
OG0000000	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2	HF920633.1_00044 hypothetical protein
OG0000001	AF303741.1_00035 hypothetical protein	HF920633.1_00127 hypothetical protein
OG0000002	AF303741.1_00047 hypothetical protein	HF920633.1_00069 hypothetical protein
OG0000003	AF303741.1_00165 hypothetical protein	HF920633.1_00043 hypothetical protein
OG0000004	AF303741.1_00176 hypothetical protein	HF920633.1_00122 hypothetical protein
OG0000005	AF303741.1_00006 hypothetical protein	HF920633.1_00118 hypothetical protein
OG0000006	AF303741.1_00011 hypothetical protein	HF920633.1_00001 hypothetical protein
OG0000007	AF303741.1_00023 hypothetical protein	HF920633.1_00067 hypothetical protein
OG0000008	AF303741.1_00026 hypothetical protein	HF920633.1_00138 hypothetical protein
OG0000009	AF303741.1_00046 hypothetical protein	HF920633.1_00058 hypothetical protein
OG0000010	AF303741.1_00063 hypothetical protein	HF920633.1_00158 hypothetical protein
OG0000011	AF303741.1_00081 hypothetical protein	HF920633.1_00003 hypothetical protein
OG0000012	AF303741.1_00125 Major capsid protein	HF920633.1_00073 Major capsid protein
OG0000013	AF303741.1_00137 hypothetical protein	HF920633.1_00163 hypothetical protein
OG0000014	AF303741.1_00149 hypothetical protein	HF920633.1_00091 hypothetical protein
OG0000015	AF303741.1_00156 hypothetical protein	HF920633.1_00080 hypothetical protein
OG0000016	AF303741.1_00158 hypothetical protein	HF920633.1_00097 hypothetical protein
OG0000017	AF303741.1_00189 DNA-directed RNA polymerase subunit 2	HF920633.1_00175 DNA-directed RNA polymerase subunit 2
OG0000018	AF303741.1_00062 hypothetical protein	HF920633.1_00094 hypothetical protein
OG0000019	AF303741.1_00080 hypothetical protein	HF920633.1_00079 hypothetical protein
OG0000020	AF303741.1_00129 hypothetical protein	HF920633.1_00085 hypothetical protein
OG0000021	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain
OG0000022	AF303741.1_00154 FAD-linked sulfhydryl oxidase	HF920633.1_00017 hypothetical protein
OG0000023	AF303741.1_00132 hypothetical protein	HF920633.1_00025 hypothetical protein
OG0000026	AF303741.1_00051 Dual specificity protein phosphatase H1	HF920633.1_00047 hypothetical protein
OG0000064	AF303741.1_00094 hypothetical protein, AF303741.1_00109 hypothetical protein	HF920633.1_00040 hypothetical protein, HF920633.1_00117 hypothetical protein, HF920633.1_00143 hypothetical protein, HF920633.1_00057 hypothetical protein, HF920633.1_00107 hypothetical protein, HF920633.1_00172 hypothetical protein, HF920633.1_00170 hypothetical protein
OG0000114	AF303741.1_00170 hypothetical protein	HF920633.1_00086 hypothetical protein
OG0000121	AF303741.1_00178 hypothetical protein	HF920633.1_00147 hypothetical protein
OG0000121	AF303741.1_00121 hypothetical protein, AF303741.1_00195 hypothetical protein	HF920633.1_00130 hypothetical protein, HF920633.1_00174 hypothetical protein, HF920633.1_00007 hypothetical protein
OG0000123	AF303741.1_00088 hypothetical protein	HF920633.1_00081 hypothetical protein, HF920633.1_00059 hypothetical protein, HF920633.1_00119 hypothetical protein
OG0000129	AF303741.1_00130 hypothetical protein, AF303741.1_00089 hypothetical protein	HF920633.1_00004 hypothetical protein
OG0000130	AF303741.1_00126 hypothetical protein	HF920633.1_00135 hypothetical protein
OG0000133	AF303741.1_00031 hypothetical protein	HF920633.1_00132 hypothetical protein
OG0000134	AF303741.1_00100 hypothetical protein, AF303741.1_00162 hypothetical protein	HF920633.1_00053 hypothetical protein
OG0000135	AF303741.1_00101 Thymidylate synthase	HF920633.1_00156 Thymidylate synthase
OG0000138	AF303741.1_00072 hypothetical protein	HF920633.1_00026 hypothetical protein
OG0000139	AF303741.1_00157 hypothetical protein	HF920633.1_00064 hypothetical protein
OG0000140	AF303741.1_00185 hypothetical protein	HF920633.1_00104 hypothetical protein
OG0000144	AF303741.1_00070 hypothetical protein	HF920633.1_00129 hypothetical protein
OG0000144	AF303741.1_00099 hypothetical protein	HF920633.1_00099 hypothetical protein, HF920633.1_00019 hypothetical protein, HF920633.1_00100 hypothetical protein
