Orthogroup	ON740976.1	NC_005946.1
OG0000000	ON740976.1_00030	NC_005946.1_00010
OG0000001	ON740976.1_00008	NC_005946.1_00053
OG0000002	ON740976.1_00007	NC_005946.1_00091
OG0000003	ON740976.1_00014	NC_005946.1_00057
OG0000004	ON740976.1_00111	NC_005946.1_00028
OG0000005	ON740976.1_00094	NC_005946.1_00014
OG0000006	ON740976.1_00075	NC_005946.1_00042
OG0000007	ON740976.1_00089	NC_005946.1_00002
OG0000008	ON740976.1_00029	NC_005946.1_00095
OG0000009	ON740976.1_00113	NC_005946.1_00092
OG0000011	ON740976.1_00063	NC_005946.1_00011
OG0000012	ON740976.1_00021	NC_005946.1_00060
OG0000013	ON740976.1_00057	NC_005946.1_00022
OG0000014	ON740976.1_00121	NC_005946.1_00016
OG0000015	ON740976.1_00122	NC_005946.1_00021
OG0000016	ON740976.1_00086	NC_005946.1_00082
OG0000017	ON740976.1_00033	NC_005946.1_00087
OG0000018	ON740976.1_00106	NC_005946.1_00023
OG0000019	ON740976.1_00085	NC_005946.1_00094
OG0000020	ON740976.1_00031	NC_005946.1_00083
OG0000021	ON740976.1_00005	NC_005946.1_00038
OG0000022	ON740976.1_00035	NC_005946.1_00061
OG0000023	ON740976.1_00044	NC_005946.1_00089
OG0000024	ON740976.1_00026	NC_005946.1_00067
OG0000026	ON740976.1_00109	NC_005946.1_00086
OG0000027	ON740976.1_00087	NC_005946.1_00049
OG0000028	ON740976.1_00047	NC_005946.1_00085
OG0000112	ON740976.1_00079	NC_005946.1_00006
