Orthogroup	ON740976.1	HF920637.1
OG0000000	ON740976.1_00030	HF920637.1_00129, HF920637.1_00164
OG0000001	ON740976.1_00008	HF920637.1_00059
OG0000002	ON740976.1_00007	HF920637.1_00143
OG0000003	ON740976.1_00014	HF920637.1_00159
OG0000004	ON740976.1_00111	HF920637.1_00025
OG0000005	ON740976.1_00094	HF920637.1_00221
OG0000006	ON740976.1_00075	HF920637.1_00121
OG0000007	ON740976.1_00089	HF920637.1_00172
OG0000008	ON740976.1_00029	HF920637.1_00176, HF920637.1_00175
OG0000009	ON740976.1_00113	HF920637.1_00153
OG0000011	ON740976.1_00063	HF920637.1_00217
OG0000012	ON740976.1_00021	HF920637.1_00001
OG0000013	ON740976.1_00057	HF920637.1_00017
OG0000014	ON740976.1_00121	HF920637.1_00108
OG0000015	ON740976.1_00122	HF920637.1_00152
OG0000016	ON740976.1_00086	HF920637.1_00079
OG0000017	ON740976.1_00033	HF920637.1_00073
OG0000018	ON740976.1_00106	HF920637.1_00111
OG0000019	ON740976.1_00085	HF920637.1_00197
OG0000020	ON740976.1_00031	HF920637.1_00031
OG0000021	ON740976.1_00005	HF920637.1_00041
OG0000022	ON740976.1_00035	HF920637.1_00213
OG0000023	ON740976.1_00044	HF920637.1_00033
OG0000024	ON740976.1_00026	HF920637.1_00061
OG0000025	ON740976.1_00064	HF920637.1_00156
OG0000031	ON740976.1_00006	HF920637.1_00127
