Orthogroup	PQ335173_PQ335174	OQ475017
OG0000000	PQ335173_PQ335174_00020 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00006 OQ475017.1 - hypothetical protein translation
OG0000001	PQ335173_PQ335174_00010 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation
OG0000002	PQ335173_PQ335174_00024 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00002 OQ475017.1 - hypothetical protein translation
OG0000003	PQ335173_PQ335174_00021 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation
OG0000004	PQ335173_PQ335174_00019 PQ335173_PQ335174 - Major capsid protein translation	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation
OG0000005	PQ335173_PQ335174_00018 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation
OG0000006	PQ335173_PQ335174_00011 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00014 OQ475017.1 - hypothetical protein translation
OG0000007	PQ335173_PQ335174_00007 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00018 OQ475017.1 - hypothetical protein translation
OG0000008	PQ335173_PQ335174_00006 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00019 OQ475017.1 - hypothetical protein translation
OG0000009	PQ335173_PQ335174_00005 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00020 OQ475017.1 - hypothetical protein translation
OG0000010	PQ335173_PQ335174_00003 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation
OG0000011	PQ335173_PQ335174_00002 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00023 OQ475017.1 - hypothetical protein translation
OG0000012	PQ335173_PQ335174_00112 PQ335173_PQ335174 - Ribonucleoside-diphosphate reductase small chain translation	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000013	PQ335173_PQ335174_00105 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation
OG0000014	PQ335173_PQ335174_00107 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation
OG0000015	PQ335173_PQ335174_00108 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation
OG0000016	PQ335173_PQ335174_00111 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00036 OQ475017.1 - hypothetical protein translation
