Orthogroup	NC_027778.1	AY532606.1
OG0000000	NC_027778.1_00083	AY532606.1_00030
OG0000001	NC_027778.1_00062	AY532606.1_00007
OG0000002	NC_027778.1_00061	AY532606.1_00006
OG0000003	NC_027778.1_00068	AY532606.1_00014
OG0000004	NC_027778.1_00040	AY532606.1_00116, AY532606.1_00117
OG0000005	NC_027778.1_00036	AY532606.1_00099, AY532606.1_00098
OG0000006	NC_027778.1_00098	AY532606.1_00078
OG0000007	NC_027778.1_00032	AY532606.1_00093
OG0000008	NC_027778.1_00080	AY532606.1_00029
OG0000009	NC_027778.1_00039	AY532606.1_00120, AY532606.1_00119
OG0000010	NC_027778.1_00123, NC_027778.1_00122, NC_027778.1_00131, NC_027778.1_00114, NC_027778.1_00120	AY532606.1_00079
OG0000011	NC_027778.1_00111	AY532606.1_00064
OG0000012	NC_027778.1_00077	AY532606.1_00020
OG0000013	NC_027778.1_00018	AY532606.1_00057
OG0000014	NC_027778.1_00038	AY532606.1_00125
OG0000015	NC_027778.1_00116	AY532606.1_00126
OG0000016	NC_027778.1_00027	AY532606.1_00089
OG0000017	NC_027778.1_00132	AY532606.1_00033
OG0000018	NC_027778.1_00043	AY532606.1_00111
OG0000019	NC_027778.1_00026	AY532606.1_00088
OG0000020	NC_027778.1_00133	AY532606.1_00031
OG0000021	NC_027778.1_00106	AY532606.1_00004
OG0000022	NC_027778.1_00129	AY532606.1_00035
OG0000024	NC_027778.1_00054	AY532606.1_00026
OG0000025	NC_027778.1_00094, NC_027778.1_00095	AY532606.1_00066, AY532606.1_00065
OG0000026	NC_027778.1_00042	AY532606.1_00114
OG0000027	NC_027778.1_00029	AY532606.1_00090
OG0000028	NC_027778.1_00006	AY532606.1_00047
OG0000029	NC_027778.1_00021	AY532606.1_00062
OG0000030	NC_027778.1_00088	AY532606.1_00001
OG0000031	NC_027778.1_00108	AY532606.1_00005
OG0000032	NC_027778.1_00100	AY532606.1_00083
OG0000033	NC_027778.1_00030	AY532606.1_00091
OG0000034	NC_027778.1_00090	AY532606.1_00127
OG0000035	NC_027778.1_00067	AY532606.1_00012
OG0000036	NC_027778.1_00115	AY532606.1_00013
OG0000037	NC_027778.1_00072	AY532606.1_00018
OG0000038	NC_027778.1_00073	AY532606.1_00019
OG0000039	NC_027778.1_00078	AY532606.1_00021
OG0000040	NC_027778.1_00070	AY532606.1_00022
OG0000041	NC_027778.1_00117	AY532606.1_00032
OG0000042	NC_027778.1_00134	AY532606.1_00036
OG0000043	NC_027778.1_00010	AY532606.1_00049
OG0000044	NC_027778.1_00011	AY532606.1_00050
OG0000045	NC_027778.1_00016	AY532606.1_00055
OG0000046	NC_027778.1_00017	AY532606.1_00056
OG0000047	NC_027778.1_00019	AY532606.1_00058
OG0000048	NC_027778.1_00031	AY532606.1_00059
OG0000049	NC_027778.1_00020	AY532606.1_00061
OG0000050	NC_027778.1_00099	AY532606.1_00080
OG0000051	NC_027778.1_00101	AY532606.1_00084
OG0000052	NC_027778.1_00126	AY532606.1_00085
OG0000053	NC_027778.1_00035	AY532606.1_00097
OG0000054	NC_027778.1_00086	AY532606.1_00100
OG0000055	NC_027778.1_00085	AY532606.1_00103
OG0000056	NC_027778.1_00041	AY532606.1_00115
OG0000057	NC_027778.1_00037	AY532606.1_00122
OG0000058	NC_027778.1_00121	AY532606.1_00124
OG0000060	NC_027778.1_00064	AY532606.1_00009
OG0000061	NC_027778.1_00071	AY532606.1_00017
OG0000062	NC_027778.1_00033	AY532606.1_00094
OG0000115	NC_027778.1_00065	AY532606.1_00010
OG0000116	NC_027778.1_00015	AY532606.1_00054
OG0000118	NC_027778.1_00034	AY532606.1_00095
