Orthogroup	NC_027778.1	MT521409.1
OG0000000	NC_027778.1_00083	MT521409.1_00103
OG0000001	NC_027778.1_00062	MT521409.1_00082
OG0000002	NC_027778.1_00061	MT521409.1_00081
OG0000003	NC_027778.1_00068	MT521409.1_00088
OG0000004	NC_027778.1_00040	MT521409.1_00061
OG0000005	NC_027778.1_00036	MT521409.1_00057
OG0000006	NC_027778.1_00098	MT521409.1_00117
OG0000007	NC_027778.1_00032	MT521409.1_00053
OG0000008	NC_027778.1_00080	MT521409.1_00100
OG0000009	NC_027778.1_00039	MT521409.1_00060
OG0000010	NC_027778.1_00123	MT521409.1_00002
OG0000010	NC_027778.1_00131	MT521409.1_00010
OG0000010	NC_027778.1_00114	MT521409.1_00132
OG0000011	NC_027778.1_00111	MT521409.1_00129
OG0000012	NC_027778.1_00077	MT521409.1_00097
OG0000013	NC_027778.1_00018	MT521409.1_00039
OG0000014	NC_027778.1_00038	MT521409.1_00059
OG0000015	NC_027778.1_00116	MT521409.1_00134
OG0000016	NC_027778.1_00027	MT521409.1_00048
OG0000017	NC_027778.1_00132	MT521409.1_00011
OG0000018	NC_027778.1_00043	MT521409.1_00064
OG0000019	NC_027778.1_00026	MT521409.1_00047
OG0000020	NC_027778.1_00133	MT521409.1_00012
OG0000021	NC_027778.1_00106	MT521409.1_00125
OG0000022	NC_027778.1_00129	MT521409.1_00008
OG0000023	NC_027778.1_00003	MT521409.1_00024
OG0000024	NC_027778.1_00054	MT521409.1_00074
OG0000025	NC_027778.1_00094, NC_027778.1_00095	MT521409.1_00114
OG0000026	NC_027778.1_00042	MT521409.1_00063
OG0000027	NC_027778.1_00029	MT521409.1_00050
OG0000028	NC_027778.1_00006	MT521409.1_00027
OG0000029	NC_027778.1_00021	MT521409.1_00042
OG0000030	NC_027778.1_00088	MT521409.1_00108
OG0000031	NC_027778.1_00108	MT521409.1_00127
OG0000032	NC_027778.1_00100	MT521409.1_00119
OG0000033	NC_027778.1_00030	MT521409.1_00051
OG0000034	NC_027778.1_00090	MT521409.1_00110
OG0000035	NC_027778.1_00067	MT521409.1_00087
OG0000036	NC_027778.1_00115	MT521409.1_00133
OG0000037	NC_027778.1_00072	MT521409.1_00092
OG0000038	NC_027778.1_00073	MT521409.1_00093
OG0000039	NC_027778.1_00078	MT521409.1_00098
OG0000040	NC_027778.1_00070	MT521409.1_00090
OG0000041	NC_027778.1_00117	MT521409.1_00135
OG0000042	NC_027778.1_00134	MT521409.1_00013
OG0000043	NC_027778.1_00010	MT521409.1_00031
OG0000044	NC_027778.1_00011	MT521409.1_00032
OG0000045	NC_027778.1_00016	MT521409.1_00037
OG0000046	NC_027778.1_00017	MT521409.1_00038
OG0000047	NC_027778.1_00019	MT521409.1_00040
OG0000048	NC_027778.1_00031	MT521409.1_00052
OG0000049	NC_027778.1_00020	MT521409.1_00041
OG0000050	NC_027778.1_00099	MT521409.1_00118
OG0000051	NC_027778.1_00101	MT521409.1_00120
OG0000052	NC_027778.1_00126	MT521409.1_00005
OG0000053	NC_027778.1_00035	MT521409.1_00056
OG0000054	NC_027778.1_00086	MT521409.1_00106
OG0000055	NC_027778.1_00085	MT521409.1_00105
OG0000056	NC_027778.1_00041	MT521409.1_00062
OG0000057	NC_027778.1_00037	MT521409.1_00058
OG0000058	NC_027778.1_00121	MT521409.1_00001
OG0000059	NC_027778.1_00087	MT521409.1_00107
OG0000060	NC_027778.1_00064	MT521409.1_00084
OG0000061	NC_027778.1_00071	MT521409.1_00091
OG0000062	NC_027778.1_00033	MT521409.1_00054
OG0000096	NC_027778.1_00025	MT521409.1_00046
OG0000114	NC_027778.1_00076	MT521409.1_00096
OG0000115	NC_027778.1_00065	MT521409.1_00085
OG0000116	NC_027778.1_00015	MT521409.1_00036
OG0000118	NC_027778.1_00034	MT521409.1_00055
OG0000128	NC_027778.1_00125	MT521409.1_00004
OG0000128	NC_027778.1_00052	MT521409.1_00072
OG0000128	NC_027778.1_00124	MT521409.1_00003
OG0000129	NC_027778.1_00056	MT521409.1_00076
OG0000139	NC_027778.1_00049	MT521409.1_00070
OG0000141	NC_027778.1_00130	MT521409.1_00009
OG0000141	NC_027778.1_00050	MT521409.1_00071
OG0000146	NC_027778.1_00136	MT521409.1_00014
OG0000146	NC_027778.1_00128	MT521409.1_00007
OG0000147	NC_027778.1_00104	MT521409.1_00123
OG0000147	NC_027778.1_00046	MT521409.1_00067
OG0000151	NC_027778.1_00119	MT521409.1_00137
OG0000161	NC_027778.1_00082	MT521409.1_00102
OG0000164	NC_027778.1_00097	MT521409.1_00116
OG0000173	NC_027778.1_00096	MT521409.1_00115
OG0000211	NC_027778.1_00102	MT521409.1_00121
OG0000212	NC_027778.1_00028	MT521409.1_00049
OG0000213	NC_027778.1_00055	MT521409.1_00075
OG0000242	NC_027778.1_00127	MT521409.1_00006
OG0000243	NC_027778.1_00001	MT521409.1_00022
OG0000244	NC_027778.1_00004	MT521409.1_00025
OG0000245	NC_027778.1_00005	MT521409.1_00026
OG0000246	NC_027778.1_00007	MT521409.1_00028
OG0000247	NC_027778.1_00008	MT521409.1_00029
OG0000248	NC_027778.1_00009	MT521409.1_00030
OG0000249	NC_027778.1_00012	MT521409.1_00033
OG0000250	NC_027778.1_00013	MT521409.1_00034
OG0000251	NC_027778.1_00014	MT521409.1_00035
OG0000252	NC_027778.1_00022	MT521409.1_00043
OG0000253	NC_027778.1_00023	MT521409.1_00044
OG0000254	NC_027778.1_00024	MT521409.1_00045
OG0000255	NC_027778.1_00045	MT521409.1_00066
OG0000256	NC_027778.1_00047	MT521409.1_00068
OG0000257	NC_027778.1_00048	MT521409.1_00069
OG0000258	NC_027778.1_00053	MT521409.1_00073
OG0000259	NC_027778.1_00057	MT521409.1_00077
OG0000260	NC_027778.1_00058	MT521409.1_00078
OG0000261	NC_027778.1_00059	MT521409.1_00079
OG0000262	NC_027778.1_00060	MT521409.1_00080
OG0000263	NC_027778.1_00063	MT521409.1_00083
OG0000264	NC_027778.1_00066	MT521409.1_00086
OG0000265	NC_027778.1_00069	MT521409.1_00089
OG0000266	NC_027778.1_00074	MT521409.1_00094
OG0000267	NC_027778.1_00079	MT521409.1_00099
OG0000268	NC_027778.1_00081	MT521409.1_00101
OG0000269	NC_027778.1_00084	MT521409.1_00104
OG0000270	NC_027778.1_00089	MT521409.1_00109
OG0000271	NC_027778.1_00091	MT521409.1_00111
OG0000272	NC_027778.1_00092	MT521409.1_00112
OG0000273	NC_027778.1_00093	MT521409.1_00113
OG0000274	NC_027778.1_00103	MT521409.1_00122
OG0000275	NC_027778.1_00105	MT521409.1_00124
OG0000276	NC_027778.1_00107	MT521409.1_00126
OG0000277	NC_027778.1_00109	MT521409.1_00128
OG0000278	NC_027778.1_00112	MT521409.1_00130
OG0000279	NC_027778.1_00113	MT521409.1_00131
OG0000280	NC_027778.1_00118	MT521409.1_00136
OG0000308	NC_027778.1_00002	MT521409.1_00023
OG0000309	NC_027778.1_00044	MT521409.1_00065
