Orthogroup	KT804738.1	MT926123.1
OG0000000	KT804738.1_00029	MT926123.1_00032
OG0000001	KT804738.1_00008	MT926123.1_00008
OG0000002	KT804738.1_00007	MT926123.1_00007
OG0000003	KT804738.1_00015	MT926123.1_00015
OG0000004	KT804738.1_00109	MT926123.1_00112
OG0000005	KT804738.1_00092	MT926123.1_00096
OG0000006	KT804738.1_00072	MT926123.1_00079
OG0000007	KT804738.1_00086	MT926123.1_00093
OG0000008	KT804738.1_00028	MT926123.1_00031
OG0000009	KT804738.1_00111	MT926123.1_00113
OG0000010	KT804738.1_00073	MT926123.1_00080
OG0000011	KT804738.1_00060	MT926123.1_00065
OG0000012	KT804738.1_00021	MT926123.1_00022
OG0000013	KT804738.1_00055	MT926123.1_00058
OG0000014	KT804738.1_00119	MT926123.1_00120
OG0000015	KT804738.1_00120	MT926123.1_00121
OG0000016	KT804738.1_00083	MT926123.1_00090
OG0000017	KT804738.1_00032	MT926123.1_00035
OG0000018	KT804738.1_00104	MT926123.1_00107
OG0000019	KT804738.1_00082	MT926123.1_00089
OG0000020	KT804738.1_00030	MT926123.1_00033
OG0000021	KT804738.1_00005	MT926123.1_00005
OG0000022	KT804738.1_00034	MT926123.1_00037
OG0000023	KT804738.1_00043	MT926123.1_00046
OG0000024	KT804738.1_00025	MT926123.1_00028
OG0000025	KT804738.1_00061	MT926123.1_00066
OG0000026	KT804738.1_00107	MT926123.1_00110
OG0000027	KT804738.1_00084	MT926123.1_00091
OG0000028	KT804738.1_00046	MT926123.1_00049
OG0000029	KT804738.1_00058	MT926123.1_00063
OG0000030	KT804738.1_00001	MT926123.1_00001
OG0000031	KT804738.1_00006	MT926123.1_00006
OG0000032	KT804738.1_00077	MT926123.1_00083
OG0000033	KT804738.1_00085	MT926123.1_00092
OG0000034	KT804738.1_00121	MT926123.1_00122
OG0000035	KT804738.1_00013	MT926123.1_00013
OG0000036	KT804738.1_00014	MT926123.1_00014
OG0000037	KT804738.1_00019	MT926123.1_00019
OG0000038	KT804738.1_00020	MT926123.1_00020
OG0000039	KT804738.1_00022	MT926123.1_00023
OG0000040	KT804738.1_00023	MT926123.1_00024
OG0000041	KT804738.1_00031	MT926123.1_00034
OG0000042	KT804738.1_00035	MT926123.1_00038
OG0000043	KT804738.1_00047	MT926123.1_00050
OG0000044	KT804738.1_00048	MT926123.1_00051
OG0000045	KT804738.1_00053	MT926123.1_00056
OG0000046	KT804738.1_00054	MT926123.1_00057
OG0000048	KT804738.1_00056	MT926123.1_00061
OG0000049	KT804738.1_00057	MT926123.1_00062
OG0000050	KT804738.1_00074	MT926123.1_00081
OG0000051	KT804738.1_00078	MT926123.1_00084
OG0000052	KT804738.1_00079	MT926123.1_00085
OG0000053	KT804738.1_00091	MT926123.1_00095
OG0000054	KT804738.1_00093	MT926123.1_00097
OG0000055	KT804738.1_00096	MT926123.1_00100
OG0000056	KT804738.1_00108	MT926123.1_00111
OG0000057	KT804738.1_00113	MT926123.1_00115
OG0000058	KT804738.1_00115	MT926123.1_00117
OG0000059	KT804738.1_00002	MT926123.1_00002
OG0000060	KT804738.1_00010	MT926123.1_00010
OG0000061	KT804738.1_00018	MT926123.1_00018
OG0000063	KT804738.1_00069	MT926123.1_00074
OG0000064	KT804738.1_00017	MT926123.1_00017
OG0000065	KT804738.1_00037	MT926123.1_00040
OG0000066	KT804738.1_00041	MT926123.1_00044
OG0000067	KT804738.1_00045	MT926123.1_00048
OG0000068	KT804738.1_00064	MT926123.1_00069
OG0000069	KT804738.1_00095	MT926123.1_00099
OG0000070	KT804738.1_00097	MT926123.1_00101
OG0000071	KT804738.1_00112	MT926123.1_00114
OG0000072	KT804738.1_00009	MT926123.1_00009
OG0000073	KT804738.1_00011	MT926123.1_00012
OG0000074	KT804738.1_00016	MT926123.1_00016
OG0000075	KT804738.1_00033	MT926123.1_00036
OG0000076	KT804738.1_00036	MT926123.1_00039
OG0000077	KT804738.1_00039	MT926123.1_00042
OG0000078	KT804738.1_00040	MT926123.1_00043
OG0000079	KT804738.1_00044	MT926123.1_00047
