Orthogroup	KT804738.1	AF303741.1
OG0000000	KT804738.1_00029	AF303741.1_00079, AF303741.1_00152
OG0000001	KT804738.1_00008	AF303741.1_00200, AF303741.1_00047
OG0000002	KT804738.1_00007	AF303741.1_00125
OG0000003	KT804738.1_00015	AF303741.1_00035
OG0000004	KT804738.1_00109	AF303741.1_00080
OG0000005	KT804738.1_00092	AF303741.1_00129
OG0000006	KT804738.1_00072	AF303741.1_00132
OG0000007	KT804738.1_00086	AF303741.1_00149
OG0000008	KT804738.1_00028	AF303741.1_00165
OG0000009	KT804738.1_00111	AF303741.1_00176
OG0000011	KT804738.1_00060	AF303741.1_00006
OG0000012	KT804738.1_00021	AF303741.1_00011
OG0000013	KT804738.1_00055	AF303741.1_00023
OG0000014	KT804738.1_00119	AF303741.1_00026
OG0000015	KT804738.1_00120	AF303741.1_00046
OG0000016	KT804738.1_00083	AF303741.1_00062
OG0000017	KT804738.1_00032	AF303741.1_00063
OG0000018	KT804738.1_00104	AF303741.1_00081
OG0000019	KT804738.1_00082	AF303741.1_00137
OG0000020	KT804738.1_00030	AF303741.1_00156
OG0000021	KT804738.1_00005	AF303741.1_00158
OG0000022	KT804738.1_00034	AF303741.1_00189
OG0000023	KT804738.1_00043	AF303741.1_00154
OG0000024	KT804738.1_00025	AF303741.1_00168
OG0000025	KT804738.1_00061	AF303741.1_00051
