Orthogroup	AF371960.1	AY521625.1	AY532606.1	AY779031.1	AY894343.1	BD143114.1	GQ273492.1	HF920633.1	HF920637.1	KC244182.1	KF938901.1	KT804738.1	L63545.1	LS484712.1	MF599468.1	MG570131.1	MG570132.1	MK098185.1	MK098186.1	MK098187.1	MK689685.1	MK689686.1	MN432490.1	MN562489.1	MN803438.1	MT521409.1	MT798582.1	MT926123.1	MT986830.1	MW139932.1	NC_005946.1	NC_027778.1	OK042108.1	OK042109.1	OL310752.1	OL774653.1	OL774654.1	OL774655.1	OM037668.1	ON075463.1	ON740976.1	ON743042.1	OP009387.1	OQ475017.1
OG0000432		AY521625.1_00001																																										
OG0000433		AY521625.1_00006																																										
OG0000434		AY521625.1_00007																																										
OG0000435		AY521625.1_00009																																										
OG0000436		AY521625.1_00012																																										
OG0000437		AY521625.1_00017																																										
OG0000438		AY521625.1_00019																																										
OG0000439		AY521625.1_00021																																										
OG0000440		AY521625.1_00024																																										
OG0000441		AY521625.1_00028																																										
OG0000442		AY521625.1_00031																																										
OG0000443		AY521625.1_00034																																										
OG0000444		AY521625.1_00037																																										
OG0000445		AY521625.1_00038																																										
OG0000446		AY521625.1_00040																																										
OG0000447		AY521625.1_00041																																										
OG0000448		AY521625.1_00045																																										
OG0000449		AY521625.1_00049																																										
OG0000450		AY521625.1_00050																																										
OG0000451		AY521625.1_00058																																										
OG0000452		AY521625.1_00067																																										
OG0000453		AY521625.1_00071																																										
OG0000454		AY521625.1_00083																																										
OG0000455		AY521625.1_00084																																										
OG0000456		AY521625.1_00087																																										
OG0000457		AY521625.1_00092																																										
OG0000458		AY521625.1_00093																																										
OG0000459		AY521625.1_00095																																										
OG0000460		AY521625.1_00096																																										
OG0000461		AY521625.1_00099																																										
OG0000462		AY521625.1_00101																																										
OG0000463		AY521625.1_00103																																										
OG0000464		AY521625.1_00112																																										
OG0000465		AY521625.1_00114																																										
OG0000466		AY521625.1_00120																																										
OG0000467		AY521625.1_00121																																										
OG0000468		AY521625.1_00122																																										
OG0000469		AY521625.1_00129																																										
OG0000470		AY521625.1_00132																																										
OG0000471		AY521625.1_00134																																										
OG0000472		AY521625.1_00135																																										
OG0000473		AY521625.1_00136																																										
OG0000474		AY521625.1_00138																																										
OG0000475		AY521625.1_00139																																										
OG0000476		AY521625.1_00141																																										
OG0000477			AY532606.1_00041																																									
OG0000478			AY532606.1_00044																																									
OG0000479			AY532606.1_00092																																									
OG0000480				AY779031.1_00030																																								
OG0000481				AY779031.1_00078																																								
OG0000482				AY779031.1_00108																																								
OG0000483				AY779031.1_00109																																								
OG0000484							GQ273492.1_00010																																					
OG0000485							GQ273492.1_00069																																					
OG0000486								HF920633.1_00002																																				
OG0000487								HF920633.1_00009																																				
OG0000488								HF920633.1_00010																																				
OG0000489								HF920633.1_00011																																				
OG0000490								HF920633.1_00028																																				
OG0000491								HF920633.1_00038																																				
OG0000492								HF920633.1_00054																																				
OG0000493								HF920633.1_00055																																				
OG0000494								HF920633.1_00065																																				
OG0000495								HF920633.1_00068																																				
OG0000496								HF920633.1_00072																																				
OG0000497								HF920633.1_00075																																				
OG0000498								HF920633.1_00076																																				
OG0000499								HF920633.1_00077																																				
OG0000500								HF920633.1_00083																																				
OG0000501								HF920633.1_00084																																				
OG0000502								HF920633.1_00093																																				
OG0000503								HF920633.1_00108																																				
OG0000504								HF920633.1_00109																																				
OG0000505								HF920633.1_00114																																				
OG0000506								HF920633.1_00124																																				
OG0000507								HF920633.1_00126																																				
OG0000508								HF920633.1_00133																																				
OG0000509								HF920633.1_00140																																				
OG0000510								HF920633.1_00148																																				
OG0000511								HF920633.1_00150																																				
OG0000512								HF920633.1_00152																																				
OG0000513								HF920633.1_00154																																				
