Orthogroup	OK042109.1	MN803438.1
OG0000000	OK042109.1_00047	MN803438.1_00124
OG0000001	OK042109.1_00069	MN803438.1_00023
OG0000003	OK042109.1_00068	MN803438.1_00101, MN803438.1_00056
OG0000004	OK042109.1_00061	MN803438.1_00113
OG0000005	OK042109.1_00048	MN803438.1_00106
OG0000006	OK042109.1_00001	MN803438.1_00142
OG0000007	OK042109.1_00110	MN803438.1_00027
OG0000008	OK042109.1_00088	MN803438.1_00104
OG0000009	OK042109.1_00086	MN803438.1_00109
OG0000010	OK042109.1_00071	MN803438.1_00089
OG0000011	OK042109.1_00054	MN803438.1_00128
OG0000012	OK042109.1_00046	MN803438.1_00068
OG0000013	OK042109.1_00044	MN803438.1_00035
OG0000014	OK042109.1_00042	MN803438.1_00013
OG0000015	OK042109.1_00020	MN803438.1_00007
OG0000016	OK042109.1_00013	MN803438.1_00049
OG0000017	OK042109.1_00114	MN803438.1_00097
OG0000018	OK042109.1_00113	MN803438.1_00122
OG0000019	OK042109.1_00093	MN803438.1_00051
OG0000020	OK042109.1_00078	MN803438.1_00070
OG0000021	OK042109.1_00077	MN803438.1_00046
OG0000022	OK042109.1_00033	MN803438.1_00077
OG0000023	OK042109.1_00105	MN803438.1_00071
OG0000024	OK042109.1_00090	MN803438.1_00126
OG0000026	OK042109.1_00112	MN803438.1_00037
OG0000027	OK042109.1_00030	MN803438.1_00054
OG0000028	OK042109.1_00070	MN803438.1_00145
