Orthogroup	OK042109.1	MW139932.1
OG0000000	OK042109.1_00047	MW139932.1_00033
OG0000001	OK042109.1_00069	MW139932.1_00007
OG0000002	OK042109.1_00123	MW139932.1_00078
OG0000003	OK042109.1_00068	MW139932.1_00008
OG0000004	OK042109.1_00061	MW139932.1_00015
OG0000005	OK042109.1_00048	MW139932.1_00032
OG0000006	OK042109.1_00001	MW139932.1_00077
OG0000007	OK042109.1_00110	MW139932.1_00091
OG0000008	OK042109.1_00088	MW139932.1_00113
OG0000009	OK042109.1_00086	MW139932.1_00115
OG0000010	OK042109.1_00071	MW139932.1_00005
OG0000011	OK042109.1_00054	MW139932.1_00023
OG0000012	OK042109.1_00046	MW139932.1_00034
OG0000013	OK042109.1_00044	MW139932.1_00036
OG0000014	OK042109.1_00042	MW139932.1_00038
OG0000015	OK042109.1_00020	MW139932.1_00059
OG0000016	OK042109.1_00013	MW139932.1_00065
OG0000017	OK042109.1_00114	MW139932.1_00087
OG0000018	OK042109.1_00113	MW139932.1_00088
OG0000019	OK042109.1_00093	MW139932.1_00108
OG0000020	OK042109.1_00078	MW139932.1_00123
OG0000021	OK042109.1_00077	MW139932.1_00124
OG0000022	OK042109.1_00033	MW139932.1_00047
OG0000023	OK042109.1_00105	MW139932.1_00096
OG0000024	OK042109.1_00090	MW139932.1_00111
OG0000026	OK042109.1_00112	MW139932.1_00089
OG0000027	OK042109.1_00030	MW139932.1_00050
OG0000028	OK042109.1_00070	MW139932.1_00006
OG0000029	OK042109.1_00015	MW139932.1_00063
OG0000030	OK042109.1_00075	MW139932.1_00001
OG0000032	OK042109.1_00111	MW139932.1_00090
OG0000033	OK042109.1_00076	MW139932.1_00125
OG0000034	OK042109.1_00063	MW139932.1_00013
OG0000035	OK042109.1_00062	MW139932.1_00014
OG0000036	OK042109.1_00057	MW139932.1_00019
OG0000037	OK042109.1_00056	MW139932.1_00020
OG0000038	OK042109.1_00053	MW139932.1_00024
OG0000039	OK042109.1_00052	MW139932.1_00025
OG0000040	OK042109.1_00045	MW139932.1_00035
OG0000041	OK042109.1_00041	MW139932.1_00039
OG0000042	OK042109.1_00028	MW139932.1_00051
OG0000043	OK042109.1_00027	MW139932.1_00052
OG0000044	OK042109.1_00022	MW139932.1_00057
OG0000045	OK042109.1_00021	MW139932.1_00058
OG0000046	OK042109.1_00019	MW139932.1_00060
OG0000047	OK042109.1_00017	MW139932.1_00061
OG0000048	OK042109.1_00016	MW139932.1_00062
OG0000049	OK042109.1_00122	MW139932.1_00079
OG0000050	OK042109.1_00118	MW139932.1_00083
OG0000051	OK042109.1_00117	MW139932.1_00084
OG0000052	OK042109.1_00106	MW139932.1_00095
OG0000053	OK042109.1_00104	MW139932.1_00097
OG0000054	OK042109.1_00101	MW139932.1_00100
OG0000055	OK042109.1_00089	MW139932.1_00112
OG0000056	OK042109.1_00084	MW139932.1_00117
OG0000057	OK042109.1_00082	MW139932.1_00119
