Orthogroup	OL774653.1	KF938901.1
OG0000000	OL774653.1_00051	KF938901.1_00126
OG0000001	OL774653.1_00026	KF938901.1_00080
OG0000002	OL774653.1_00025	KF938901.1_00044
OG0000003	OL774653.1_00032	KF938901.1_00005
OG0000004	OL774653.1_00006	KF938901.1_00043
OG0000005	OL774653.1_00114	KF938901.1_00125
OG0000006	OL774653.1_00094	KF938901.1_00072
OG0000007	OL774653.1_00108	KF938901.1_00053
OG0000008	OL774653.1_00050	KF938901.1_00067
OG0000009	OL774653.1_00008	KF938901.1_00114
OG0000011	OL774653.1_00082	KF938901.1_00092
OG0000012	OL774653.1_00039	KF938901.1_00054
OG0000013	OL774653.1_00076	KF938901.1_00060
OG0000014	OL774653.1_00016	KF938901.1_00074
OG0000015	OL774653.1_00017	KF938901.1_00095
OG0000016	OL774653.1_00105	KF938901.1_00046
OG0000017	OL774653.1_00054	KF938901.1_00123
OG0000018	OL774653.1_00001	KF938901.1_00025
OG0000019	OL774653.1_00104	KF938901.1_00012
OG0000020	OL774653.1_00052	KF938901.1_00047
OG0000021	OL774653.1_00023	KF938901.1_00124
OG0000022	OL774653.1_00056	KF938901.1_00023
OG0000023	OL774653.1_00065	KF938901.1_00031
OG0000024	OL774653.1_00047	KF938901.1_00094
OG0000025	OL774653.1_00083	KF938901.1_00093
