Orthogroup	OL774653.1	L63545.1
OG0000000	OL774653.1_00051	L63545.1_00007
OG0000001	OL774653.1_00026	L63545.1_00035
OG0000002	OL774653.1_00025	L63545.1_00079
OG0000003	OL774653.1_00032	L63545.1_00076
OG0000004	OL774653.1_00006	L63545.1_00001
OG0000005	OL774653.1_00114	L63545.1_00056
OG0000006	OL774653.1_00094	L63545.1_00093
OG0000007	OL774653.1_00108	L63545.1_00090
OG0000008	OL774653.1_00050	L63545.1_00108
OG0000009	OL774653.1_00008	L63545.1_00024
OG0000011	OL774653.1_00082	L63545.1_00069
OG0000012	OL774653.1_00039	L63545.1_00071
OG0000013	OL774653.1_00076	L63545.1_00004
OG0000014	OL774653.1_00016	L63545.1_00030
OG0000015	OL774653.1_00017	L63545.1_00110
OG0000016	OL774653.1_00105	L63545.1_00073
OG0000017	OL774653.1_00054	L63545.1_00072
OG0000018	OL774653.1_00001	L63545.1_00068
OG0000019	OL774653.1_00104	L63545.1_00009
OG0000020	OL774653.1_00052	L63545.1_00098
OG0000021	OL774653.1_00023	L63545.1_00043
OG0000022	OL774653.1_00056	L63545.1_00013
OG0000023	OL774653.1_00065	L63545.1_00054
OG0000024	OL774653.1_00047	L63545.1_00015
OG0000026	OL774653.1_00004	L63545.1_00002
OG0000027	OL774653.1_00106	L63545.1_00058
OG0000028	OL774653.1_00068	L63545.1_00003
