Orthogroup	OL310752.1	MF599468.1
OG0000000	OL310752.1_00108, OL310752.1_00113	MF599468.1_00057, MF599468.1_00056
OG0000001	OL310752.1_00018	MF599468.1_00163
OG0000002	OL310752.1_00019	MF599468.1_00152
OG0000003	OL310752.1_00012	MF599468.1_00011
OG0000004	OL310752.1_00060	MF599468.1_00092
OG0000005	OL310752.1_00036	MF599468.1_00154
OG0000006	OL310752.1_00078	MF599468.1_00010
OG0000007	OL310752.1_00042	MF599468.1_00174
OG0000008	OL310752.1_00107	MF599468.1_00030
OG0000009	OL310752.1_00116	MF599468.1_00075
OG0000011	OL310752.1_00027	MF599468.1_00149
OG0000012	OL310752.1_00004	MF599468.1_00112
OG0000013	OL310752.1_00096	MF599468.1_00033
OG0000014	OL310752.1_00071	MF599468.1_00122
OG0000015	OL310752.1_00072	MF599468.1_00009
OG0000016	OL310752.1_00045	MF599468.1_00046
OG0000017	OL310752.1_00085	MF599468.1_00035
OG0000018	OL310752.1_00065	MF599468.1_00117
OG0000019	OL310752.1_00046	MF599468.1_00106
OG0000020	OL310752.1_00114	MF599468.1_00090
OG0000021	OL310752.1_00021	MF599468.1_00116
OG0000022	OL310752.1_00083	MF599468.1_00071
OG0000023	OL310752.1_00052	MF599468.1_00171
OG0000026	OL310752.1_00062	MF599468.1_00039
OG0000047	OL310752.1_00022	MF599468.1_00013
OG0000069	OL310752.1_00033	MF599468.1_00131
