Orthogroup	OL310752.1	NC_005946.1
OG0000000	OL310752.1_00108, OL310752.1_00113	NC_005946.1_00010
OG0000001	OL310752.1_00018	NC_005946.1_00053
OG0000002	OL310752.1_00019	NC_005946.1_00091
OG0000003	OL310752.1_00012	NC_005946.1_00057
OG0000004	OL310752.1_00060	NC_005946.1_00028
OG0000005	OL310752.1_00036	NC_005946.1_00014
OG0000006	OL310752.1_00078	NC_005946.1_00042
OG0000007	OL310752.1_00042	NC_005946.1_00002
OG0000008	OL310752.1_00107	NC_005946.1_00095
OG0000009	OL310752.1_00116	NC_005946.1_00092
OG0000011	OL310752.1_00027	NC_005946.1_00011
OG0000012	OL310752.1_00004	NC_005946.1_00060
OG0000013	OL310752.1_00096	NC_005946.1_00022
OG0000014	OL310752.1_00071	NC_005946.1_00016
OG0000015	OL310752.1_00072	NC_005946.1_00021
OG0000016	OL310752.1_00045	NC_005946.1_00082
OG0000017	OL310752.1_00085	NC_005946.1_00087
OG0000018	OL310752.1_00065	NC_005946.1_00023
OG0000019	OL310752.1_00046	NC_005946.1_00094
OG0000020	OL310752.1_00114	NC_005946.1_00083
OG0000021	OL310752.1_00021	NC_005946.1_00038
OG0000022	OL310752.1_00083	NC_005946.1_00061
OG0000023	OL310752.1_00052	NC_005946.1_00089
OG0000024	OL310752.1_00104	NC_005946.1_00067
OG0000026	OL310752.1_00062	NC_005946.1_00086
OG0000027	OL310752.1_00044	NC_005946.1_00049
OG0000028	OL310752.1_00087	NC_005946.1_00085
