Orthogroup	OL310752.1	HF920637.1
OG0000000	OL310752.1_00108, OL310752.1_00113	HF920637.1_00129, HF920637.1_00164
OG0000001	OL310752.1_00018	HF920637.1_00059
OG0000002	OL310752.1_00019	HF920637.1_00143
OG0000003	OL310752.1_00012	HF920637.1_00159
OG0000004	OL310752.1_00060	HF920637.1_00025
OG0000005	OL310752.1_00036	HF920637.1_00221
OG0000006	OL310752.1_00078	HF920637.1_00121
OG0000007	OL310752.1_00042	HF920637.1_00172
OG0000008	OL310752.1_00107	HF920637.1_00176, HF920637.1_00175
OG0000009	OL310752.1_00116	HF920637.1_00153
OG0000011	OL310752.1_00027	HF920637.1_00217
OG0000012	OL310752.1_00004	HF920637.1_00001
OG0000013	OL310752.1_00096	HF920637.1_00017
OG0000014	OL310752.1_00071	HF920637.1_00108
OG0000015	OL310752.1_00072	HF920637.1_00152
OG0000016	OL310752.1_00045	HF920637.1_00079
OG0000017	OL310752.1_00085	HF920637.1_00073
OG0000018	OL310752.1_00065	HF920637.1_00111
OG0000019	OL310752.1_00046	HF920637.1_00197
OG0000020	OL310752.1_00114	HF920637.1_00031
OG0000021	OL310752.1_00021	HF920637.1_00041
OG0000022	OL310752.1_00083	HF920637.1_00213
OG0000023	OL310752.1_00052	HF920637.1_00033
OG0000024	OL310752.1_00104	HF920637.1_00061
OG0000025	OL310752.1_00028	HF920637.1_00156
OG0000031	OL310752.1_00020	HF920637.1_00127
