Orthogroup	OL310752.1	AF303741.1
OG0000000	OL310752.1_00108, OL310752.1_00113	AF303741.1_00079, AF303741.1_00152
OG0000001	OL310752.1_00018	AF303741.1_00200, AF303741.1_00047
OG0000002	OL310752.1_00019	AF303741.1_00125
OG0000003	OL310752.1_00012	AF303741.1_00035
OG0000004	OL310752.1_00060	AF303741.1_00080
OG0000005	OL310752.1_00036	AF303741.1_00129
OG0000006	OL310752.1_00078	AF303741.1_00132
OG0000007	OL310752.1_00042	AF303741.1_00149
OG0000008	OL310752.1_00107	AF303741.1_00165
OG0000009	OL310752.1_00116	AF303741.1_00176
OG0000011	OL310752.1_00027	AF303741.1_00006
OG0000012	OL310752.1_00004	AF303741.1_00011
OG0000013	OL310752.1_00096	AF303741.1_00023
OG0000014	OL310752.1_00071	AF303741.1_00026
OG0000015	OL310752.1_00072	AF303741.1_00046
OG0000016	OL310752.1_00045	AF303741.1_00062
OG0000017	OL310752.1_00085	AF303741.1_00063
OG0000018	OL310752.1_00065	AF303741.1_00081
OG0000019	OL310752.1_00046	AF303741.1_00137
OG0000020	OL310752.1_00114	AF303741.1_00156
OG0000021	OL310752.1_00021	AF303741.1_00158
OG0000022	OL310752.1_00083	AF303741.1_00189
OG0000023	OL310752.1_00052	AF303741.1_00154
OG0000024	OL310752.1_00104	AF303741.1_00168
OG0000025	OL310752.1_00028	AF303741.1_00051
