Orthogroup	AY521625	LS484712
OG0000000	AY521625.1_00091 AY521625.1 - hypothetical protein translation	LS484712.1_00114 hypothetical protein
OG0000001	AY521625.1_00130 AY521625.1 - hypothetical protein translation	LS484712.1_00187 hypothetical protein
OG0000002	AY521625.1_00077 AY521625.1 - hypothetical protein translation	LS484712.1_00095 hypothetical protein
OG0000003	AY521625.1_00085 AY521625.1 - hypothetical protein translation	LS484712.1_00248 hypothetical protein
OG0000004	AY521625.1_00142 AY521625.1 - hypothetical protein translation	LS484712.1_00130 hypothetical protein
OG0000005	AY521625.1_00053 AY521625.1 - hypothetical protein translation	LS484712.1_00203 hypothetical protein
OG0000006	AY521625.1_00110 AY521625.1 - hypothetical protein translation	LS484712.1_00200 hypothetical protein
OG0000007	AY521625.1_00048 AY521625.1 - hypothetical protein translation	LS484712.1_00143 hypothetical protein
OG0000008	AY521625.1_00115 AY521625.1 - hypothetical protein translation	LS484712.1_00202 hypothetical protein
OG0000009	AY521625.1_00035 AY521625.1 - hypothetical protein translation	LS484712.1_00135 hypothetical protein
OG0000010	AY521625.1_00059 AY521625.1 - hypothetical protein translation	LS484712.1_00240 hypothetical protein
OG0000011	AY521625.1_00047 AY521625.1 - hypothetical protein translation	LS484712.1_00053 hypothetical protein
OG0000012	AY521625.1_00064 AY521625.1 - Major capsid protein translation	LS484712.1_00142 Major capsid protein
OG0000013	AY521625.1_00086 AY521625.1 - hypothetical protein translation	LS484712.1_00192 hypothetical protein
OG0000014	AY521625.1_00016 AY521625.1 - hypothetical protein translation	LS484712.1_00050 hypothetical protein
OG0000015	AY521625.1_00074 AY521625.1 - hypothetical protein translation	LS484712.1_00188 hypothetical protein
OG0000016	AY521625.1_00054 AY521625.1 - hypothetical protein translation	LS484712.1_00096 hypothetical protein
OG0000017	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation	LS484712.1_00194 DNA-directed RNA polymerase subunit 2
OG0000021	AY521625.1_00042 AY521625.1 - hypothetical protein translation	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain
OG0000022	AY521625.1_00062 AY521625.1 - hypothetical protein translation	LS484712.1_00117 hypothetical protein
OG0000023	AY521625.1_00051 AY521625.1 - hypothetical protein translation	LS484712.1_00040 hypothetical protein
OG0000130	AY521625.1_00098 AY521625.1 - hypothetical protein translation	LS484712.1_00057 hypothetical protein
OG0000133	AY521625.1_00056 AY521625.1 - Ribonucleoside-diphosphate reductase large subunit translation	LS484712.1_00251 Ribonucleoside-diphosphate reductase large subunit
OG0000138	AY521625.1_00133 AY521625.1 - hypothetical protein translation	LS484712.1_00133 hypothetical protein
