Orthogroup	MT926123.1	AF303741.1
OG0000000	MT926123.1_00032	AF303741.1_00079, AF303741.1_00152
OG0000001	MT926123.1_00008	AF303741.1_00200, AF303741.1_00047
OG0000002	MT926123.1_00007	AF303741.1_00125
OG0000003	MT926123.1_00015	AF303741.1_00035
OG0000004	MT926123.1_00112	AF303741.1_00080
OG0000005	MT926123.1_00096	AF303741.1_00129
OG0000006	MT926123.1_00079	AF303741.1_00132
OG0000007	MT926123.1_00093	AF303741.1_00149
OG0000008	MT926123.1_00031	AF303741.1_00165
OG0000009	MT926123.1_00113	AF303741.1_00176
OG0000011	MT926123.1_00065	AF303741.1_00006
OG0000012	MT926123.1_00022	AF303741.1_00011
OG0000013	MT926123.1_00058	AF303741.1_00023
OG0000014	MT926123.1_00120	AF303741.1_00026
OG0000015	MT926123.1_00121	AF303741.1_00046
OG0000016	MT926123.1_00090	AF303741.1_00062
OG0000017	MT926123.1_00035	AF303741.1_00063
OG0000018	MT926123.1_00107	AF303741.1_00081
OG0000019	MT926123.1_00089	AF303741.1_00137
OG0000020	MT926123.1_00033	AF303741.1_00156
OG0000021	MT926123.1_00005	AF303741.1_00158
OG0000022	MT926123.1_00037	AF303741.1_00189
OG0000023	MT926123.1_00046	AF303741.1_00154
OG0000024	MT926123.1_00028	AF303741.1_00168
OG0000025	MT926123.1_00066	AF303741.1_00051
