Orthogroup	BD143114.1	AF303741.1
OG0000000	BD143114.1_00045	AF303741.1_00079, AF303741.1_00152
OG0000001	BD143114.1_00067	AF303741.1_00200, AF303741.1_00047
OG0000002	BD143114.1_00068	AF303741.1_00125
OG0000003	BD143114.1_00060	AF303741.1_00035
OG0000004	BD143114.1_00087	AF303741.1_00080
OG0000005	BD143114.1_00104	AF303741.1_00129
OG0000006	BD143114.1_00001	AF303741.1_00132
OG0000007	BD143114.1_00109	AF303741.1_00149
OG0000008	BD143114.1_00046	AF303741.1_00165
OG0000009	BD143114.1_00085	AF303741.1_00176
OG0000011	BD143114.1_00013	AF303741.1_00006
OG0000012	BD143114.1_00053	AF303741.1_00011
OG0000013	BD143114.1_00019	AF303741.1_00023
OG0000014	BD143114.1_00077	AF303741.1_00026
OG0000015	BD143114.1_00076	AF303741.1_00046
OG0000016	BD143114.1_00113	AF303741.1_00062
OG0000017	BD143114.1_00042	AF303741.1_00063
OG0000018	BD143114.1_00092	AF303741.1_00081
OG0000019	BD143114.1_00114	AF303741.1_00137
OG0000020	BD143114.1_00044	AF303741.1_00156
OG0000021	BD143114.1_00070	AF303741.1_00158
OG0000022	BD143114.1_00040	AF303741.1_00189
OG0000023	BD143114.1_00031	AF303741.1_00154
OG0000024	BD143114.1_00049	AF303741.1_00168
OG0000025	BD143114.1_00012	AF303741.1_00051
