Orthogroup	OL774654.1	MW139932.1
OG0000000	OL774654.1_00031	MW139932.1_00033
OG0000001	OL774654.1_00008	MW139932.1_00008
OG0000002	OL774654.1_00007	MW139932.1_00007
OG0000003	OL774654.1_00015	MW139932.1_00015
OG0000004	OL774654.1_00111	MW139932.1_00113
OG0000005	OL774654.1_00094	MW139932.1_00096
OG0000006	OL774654.1_00075	MW139932.1_00077
OG0000007	OL774654.1_00089	MW139932.1_00091
OG0000008	OL774654.1_00030	MW139932.1_00032
OG0000009	OL774654.1_00113	MW139932.1_00115
OG0000010	OL774654.1_00076	MW139932.1_00078
OG0000011	OL774654.1_00063	MW139932.1_00065
OG0000012	OL774654.1_00022	MW139932.1_00023
OG0000013	OL774654.1_00057	MW139932.1_00059
OG0000014	OL774654.1_00121	MW139932.1_00123
OG0000015	OL774654.1_00122	MW139932.1_00124
OG0000016	OL774654.1_00086	MW139932.1_00088
OG0000017	OL774654.1_00034	MW139932.1_00036
OG0000018	OL774654.1_00106	MW139932.1_00108
OG0000019	OL774654.1_00085	MW139932.1_00087
OG0000020	OL774654.1_00032	MW139932.1_00034
OG0000021	OL774654.1_00005	MW139932.1_00005
OG0000022	OL774654.1_00036	MW139932.1_00038
OG0000023	OL774654.1_00045	MW139932.1_00047
OG0000024	OL774654.1_00027	MW139932.1_00029
OG0000025	OL774654.1_00064	MW139932.1_00066
OG0000026	OL774654.1_00109	MW139932.1_00111
OG0000027	OL774654.1_00087	MW139932.1_00089
OG0000028	OL774654.1_00048	MW139932.1_00050
OG0000029	OL774654.1_00061	MW139932.1_00063
OG0000030	OL774654.1_00001	MW139932.1_00001
OG0000031	OL774654.1_00006	MW139932.1_00006
OG0000032	OL774654.1_00080	MW139932.1_00082
OG0000033	OL774654.1_00088	MW139932.1_00090
OG0000034	OL774654.1_00123	MW139932.1_00125
OG0000035	OL774654.1_00013	MW139932.1_00013
OG0000036	OL774654.1_00014	MW139932.1_00014
OG0000037	OL774654.1_00019	MW139932.1_00019
OG0000038	OL774654.1_00020	MW139932.1_00020
