Orthogroup	OL774654.1	MN803438.1
OG0000000	OL774654.1_00031	MN803438.1_00124
OG0000001	OL774654.1_00008	MN803438.1_00101, MN803438.1_00056
OG0000002	OL774654.1_00007	MN803438.1_00023
OG0000003	OL774654.1_00015	MN803438.1_00113
OG0000004	OL774654.1_00111	MN803438.1_00104
OG0000005	OL774654.1_00094	MN803438.1_00071
OG0000006	OL774654.1_00075	MN803438.1_00142
OG0000007	OL774654.1_00089	MN803438.1_00027
OG0000008	OL774654.1_00030	MN803438.1_00106
OG0000009	OL774654.1_00113	MN803438.1_00109
OG0000011	OL774654.1_00063	MN803438.1_00049
OG0000012	OL774654.1_00022	MN803438.1_00128
OG0000013	OL774654.1_00057	MN803438.1_00007
OG0000014	OL774654.1_00121	MN803438.1_00070
OG0000015	OL774654.1_00122	MN803438.1_00046
OG0000016	OL774654.1_00086	MN803438.1_00122
OG0000017	OL774654.1_00034	MN803438.1_00035
OG0000018	OL774654.1_00106	MN803438.1_00051
OG0000019	OL774654.1_00085	MN803438.1_00097
OG0000020	OL774654.1_00032	MN803438.1_00068
OG0000021	OL774654.1_00005	MN803438.1_00089
OG0000022	OL774654.1_00036	MN803438.1_00013
OG0000023	OL774654.1_00045	MN803438.1_00077
OG0000024	OL774654.1_00027	MN803438.1_00024
OG0000026	OL774654.1_00109	MN803438.1_00126
OG0000027	OL774654.1_00087	MN803438.1_00037
OG0000028	OL774654.1_00048	MN803438.1_00054
OG0000031	OL774654.1_00006	MN803438.1_00145
