Orthogroup	MW139932.1	KF938901.1
OG0000000	MW139932.1_00033	KF938901.1_00126
OG0000001	MW139932.1_00007	KF938901.1_00044
OG0000003	MW139932.1_00008	KF938901.1_00080
OG0000004	MW139932.1_00015	KF938901.1_00005
OG0000005	MW139932.1_00032	KF938901.1_00067
OG0000006	MW139932.1_00077	KF938901.1_00072
OG0000007	MW139932.1_00091	KF938901.1_00053
OG0000008	MW139932.1_00113	KF938901.1_00043
OG0000009	MW139932.1_00115	KF938901.1_00114
OG0000010	MW139932.1_00005	KF938901.1_00124
OG0000011	MW139932.1_00023	KF938901.1_00054
OG0000012	MW139932.1_00034	KF938901.1_00047
OG0000013	MW139932.1_00036	KF938901.1_00123
OG0000014	MW139932.1_00038	KF938901.1_00023
OG0000015	MW139932.1_00059	KF938901.1_00060
OG0000016	MW139932.1_00065	KF938901.1_00092
OG0000017	MW139932.1_00087	KF938901.1_00012
OG0000018	MW139932.1_00088	KF938901.1_00046
OG0000019	MW139932.1_00108	KF938901.1_00025
OG0000020	MW139932.1_00123	KF938901.1_00074
OG0000021	MW139932.1_00124	KF938901.1_00095
OG0000022	MW139932.1_00047	KF938901.1_00031
OG0000025	MW139932.1_00066	KF938901.1_00093
