Orthogroup	MW139932.1	L63545.1
OG0000000	MW139932.1_00033	L63545.1_00007
OG0000001	MW139932.1_00007	L63545.1_00079
OG0000003	MW139932.1_00008	L63545.1_00035
OG0000004	MW139932.1_00015	L63545.1_00076
OG0000005	MW139932.1_00032	L63545.1_00108
OG0000006	MW139932.1_00077	L63545.1_00093
OG0000007	MW139932.1_00091	L63545.1_00090
OG0000008	MW139932.1_00113	L63545.1_00001
OG0000009	MW139932.1_00115	L63545.1_00024
OG0000010	MW139932.1_00005	L63545.1_00043
OG0000011	MW139932.1_00023	L63545.1_00071
OG0000012	MW139932.1_00034	L63545.1_00098
OG0000013	MW139932.1_00036	L63545.1_00072
OG0000014	MW139932.1_00038	L63545.1_00013
OG0000015	MW139932.1_00059	L63545.1_00004
OG0000016	MW139932.1_00065	L63545.1_00069
OG0000017	MW139932.1_00087	L63545.1_00009
OG0000018	MW139932.1_00088	L63545.1_00073
OG0000019	MW139932.1_00108	L63545.1_00068
OG0000020	MW139932.1_00123	L63545.1_00030
OG0000021	MW139932.1_00124	L63545.1_00110
OG0000022	MW139932.1_00047	L63545.1_00054
OG0000023	MW139932.1_00096	L63545.1_00056
OG0000024	MW139932.1_00111	L63545.1_00002
OG0000026	MW139932.1_00089	L63545.1_00058
OG0000027	MW139932.1_00050	L63545.1_00003
