Orthogroup	MW139932.1	HF920633.1
OG0000000	MW139932.1_00033	HF920633.1_00044
OG0000001	MW139932.1_00007	HF920633.1_00073
OG0000003	MW139932.1_00008	HF920633.1_00069
OG0000004	MW139932.1_00015	HF920633.1_00127
OG0000005	MW139932.1_00032	HF920633.1_00043
OG0000006	MW139932.1_00077	HF920633.1_00025
OG0000007	MW139932.1_00091	HF920633.1_00091
OG0000008	MW139932.1_00113	HF920633.1_00079
OG0000009	MW139932.1_00115	HF920633.1_00122
OG0000010	MW139932.1_00005	HF920633.1_00097
OG0000011	MW139932.1_00023	HF920633.1_00001
OG0000012	MW139932.1_00034	HF920633.1_00080
OG0000013	MW139932.1_00036	HF920633.1_00158
OG0000014	MW139932.1_00038	HF920633.1_00175
OG0000015	MW139932.1_00059	HF920633.1_00067
OG0000016	MW139932.1_00065	HF920633.1_00118
OG0000017	MW139932.1_00087	HF920633.1_00163
OG0000018	MW139932.1_00088	HF920633.1_00094
OG0000019	MW139932.1_00108	HF920633.1_00003
OG0000020	MW139932.1_00123	HF920633.1_00138
OG0000021	MW139932.1_00124	HF920633.1_00058
OG0000022	MW139932.1_00047	HF920633.1_00017
OG0000025	MW139932.1_00066	HF920633.1_00047
OG0000028	MW139932.1_00006	HF920633.1_00030
