Orthogroup	MCV_MP1_LYCI_OL774653.1	Rana_FV3_NC_005946.1
OG0000000	MCV_MP1_LYCI_OL774653.1_00051	Rana_FV3_NC_005946.1_00010
OG0000001	MCV_MP1_LYCI_OL774653.1_00025	Rana_FV3_NC_005946.1_00091
OG0000002	MCV_MP1_LYCI_OL774653.1_00026	Rana_FV3_NC_005946.1_00053
OG0000003	MCV_MP1_LYCI_OL774653.1_00032	Rana_FV3_NC_005946.1_00057
OG0000004	MCV_MP1_LYCI_OL774653.1_00006	Rana_FV3_NC_005946.1_00028
OG0000005	MCV_MP1_LYCI_OL774653.1_00108	Rana_FV3_NC_005946.1_00002
OG0000006	MCV_MP1_LYCI_OL774653.1_00050	Rana_FV3_NC_005946.1_00095
OG0000007	MCV_MP1_LYCI_OL774653.1_00094	Rana_FV3_NC_005946.1_00042
OG0000008	MCV_MP1_LYCI_OL774653.1_00008	Rana_FV3_NC_005946.1_00092
OG0000009	MCV_MP1_LYCI_OL774653.1_00114	Rana_FV3_NC_005946.1_00014
OG0000011	MCV_MP1_LYCI_OL774653.1_00104	Rana_FV3_NC_005946.1_00094
OG0000012	MCV_MP1_LYCI_OL774653.1_00056	Rana_FV3_NC_005946.1_00061
OG0000013	MCV_MP1_LYCI_OL774653.1_00001	Rana_FV3_NC_005946.1_00023
OG0000014	MCV_MP1_LYCI_OL774653.1_00105	Rana_FV3_NC_005946.1_00082
OG0000015	MCV_MP1_LYCI_OL774653.1_00052	Rana_FV3_NC_005946.1_00083
OG0000016	MCV_MP1_LYCI_OL774653.1_00039	Rana_FV3_NC_005946.1_00060
OG0000017	MCV_MP1_LYCI_OL774653.1_00076	Rana_FV3_NC_005946.1_00022
OG0000018	MCV_MP1_LYCI_OL774653.1_00016	Rana_FV3_NC_005946.1_00016
OG0000019	MCV_MP1_LYCI_OL774653.1_00082	Rana_FV3_NC_005946.1_00011
OG0000020	MCV_MP1_LYCI_OL774653.1_00017	Rana_FV3_NC_005946.1_00021
OG0000021	MCV_MP1_LYCI_OL774653.1_00054	Rana_FV3_NC_005946.1_00087
OG0000022	MCV_MP1_LYCI_OL774653.1_00023	Rana_FV3_NC_005946.1_00038
OG0000023	MCV_MP1_LYCI_OL774653.1_00065	Rana_FV3_NC_005946.1_00089
OG0000024	MCV_MP1_LYCI_OL774653.1_00047	Rana_FV3_NC_005946.1_00067
OG0000026	MCV_MP1_LYCI_OL774653.1_00004	Rana_FV3_NC_005946.1_00086
OG0000027	MCV_MP1_LYCI_OL774653.1_00106	Rana_FV3_NC_005946.1_00049
OG0000028	MCV_MP1_LYCI_OL774653.1_00068	Rana_FV3_NC_005946.1_00085
OG0000112	MCV_MP1_LYCI_OL774653.1_00098	Rana_FV3_NC_005946.1_00006
