Orthogroup	OP009387.1	HF920633.1
OG0000000	OP009387.1_00030	HF920633.1_00044
OG0000001	OP009387.1_00008	HF920633.1_00069
OG0000002	OP009387.1_00007	HF920633.1_00073
OG0000003	OP009387.1_00015	HF920633.1_00127
OG0000004	OP009387.1_00112	HF920633.1_00079
OG0000005	OP009387.1_00095	HF920633.1_00085
OG0000006	OP009387.1_00077	HF920633.1_00025
OG0000007	OP009387.1_00091	HF920633.1_00091
OG0000008	OP009387.1_00029	HF920633.1_00043
OG0000009	OP009387.1_00113	HF920633.1_00122
OG0000011	OP009387.1_00064	HF920633.1_00118
OG0000012	OP009387.1_00023	HF920633.1_00001
OG0000013	OP009387.1_00057	HF920633.1_00067
OG0000014	OP009387.1_00121	HF920633.1_00138
OG0000015	OP009387.1_00122	HF920633.1_00058
OG0000016	OP009387.1_00088	HF920633.1_00094
OG0000017	OP009387.1_00033	HF920633.1_00158
OG0000018	OP009387.1_00107	HF920633.1_00003
OG0000019	OP009387.1_00087	HF920633.1_00163
OG0000020	OP009387.1_00031	HF920633.1_00080
OG0000021	OP009387.1_00005	HF920633.1_00097
OG0000022	OP009387.1_00035	HF920633.1_00175
OG0000023	OP009387.1_00044	HF920633.1_00017
OG0000024	OP009387.1_00026	HF920633.1_00062
OG0000025	OP009387.1_00065	HF920633.1_00047
