Orthogroup	OP009387.1	NC_005946.1
OG0000000	OP009387.1_00030	NC_005946.1_00010
OG0000001	OP009387.1_00008	NC_005946.1_00053
OG0000002	OP009387.1_00007	NC_005946.1_00091
OG0000003	OP009387.1_00015	NC_005946.1_00057
OG0000004	OP009387.1_00112	NC_005946.1_00028
OG0000005	OP009387.1_00095	NC_005946.1_00014
OG0000006	OP009387.1_00077	NC_005946.1_00042
OG0000007	OP009387.1_00091	NC_005946.1_00002
OG0000008	OP009387.1_00029	NC_005946.1_00095
OG0000009	OP009387.1_00113	NC_005946.1_00092
OG0000011	OP009387.1_00064	NC_005946.1_00011
OG0000012	OP009387.1_00023	NC_005946.1_00060
OG0000013	OP009387.1_00057	NC_005946.1_00022
OG0000014	OP009387.1_00121	NC_005946.1_00016
OG0000015	OP009387.1_00122	NC_005946.1_00021
OG0000016	OP009387.1_00088	NC_005946.1_00082
OG0000017	OP009387.1_00033	NC_005946.1_00087
OG0000018	OP009387.1_00107	NC_005946.1_00023
OG0000019	OP009387.1_00087	NC_005946.1_00094
OG0000020	OP009387.1_00031	NC_005946.1_00083
OG0000021	OP009387.1_00005	NC_005946.1_00038
OG0000022	OP009387.1_00035	NC_005946.1_00061
OG0000023	OP009387.1_00044	NC_005946.1_00089
OG0000024	OP009387.1_00026	NC_005946.1_00067
OG0000026	OP009387.1_00110	NC_005946.1_00086
OG0000027	OP009387.1_00089	NC_005946.1_00049
OG0000028	OP009387.1_00047	NC_005946.1_00085
OG0000112	OP009387.1_00081	NC_005946.1_00006
