Orthogroup	OP009387.1	MT521409.1
OG0000000	OP009387.1_00030	MT521409.1_00103
OG0000001	OP009387.1_00008	MT521409.1_00082
OG0000002	OP009387.1_00007	MT521409.1_00081
OG0000003	OP009387.1_00015	MT521409.1_00088
OG0000004	OP009387.1_00112	MT521409.1_00061
OG0000005	OP009387.1_00095	MT521409.1_00057
OG0000006	OP009387.1_00077	MT521409.1_00117
OG0000007	OP009387.1_00091	MT521409.1_00053
OG0000008	OP009387.1_00029	MT521409.1_00100
OG0000009	OP009387.1_00113	MT521409.1_00060
OG0000010	OP009387.1_00078	MT521409.1_00002, MT521409.1_00010, MT521409.1_00132
OG0000011	OP009387.1_00064	MT521409.1_00129
OG0000012	OP009387.1_00023	MT521409.1_00097
OG0000013	OP009387.1_00057	MT521409.1_00039
OG0000014	OP009387.1_00121	MT521409.1_00059
OG0000015	OP009387.1_00122	MT521409.1_00134
OG0000016	OP009387.1_00088	MT521409.1_00048
OG0000017	OP009387.1_00033	MT521409.1_00011
OG0000018	OP009387.1_00107	MT521409.1_00064
OG0000019	OP009387.1_00087	MT521409.1_00047
OG0000020	OP009387.1_00031	MT521409.1_00012
OG0000021	OP009387.1_00005	MT521409.1_00125
OG0000022	OP009387.1_00035	MT521409.1_00008
OG0000023	OP009387.1_00044	MT521409.1_00024
OG0000024	OP009387.1_00026	MT521409.1_00074
OG0000025	OP009387.1_00065	MT521409.1_00114
OG0000026	OP009387.1_00110	MT521409.1_00063
OG0000027	OP009387.1_00089	MT521409.1_00050
OG0000028	OP009387.1_00047	MT521409.1_00027
OG0000029	OP009387.1_00062	MT521409.1_00042
OG0000030	OP009387.1_00001	MT521409.1_00108
OG0000031	OP009387.1_00006	MT521409.1_00127
OG0000032	OP009387.1_00082	MT521409.1_00119
OG0000033	OP009387.1_00090	MT521409.1_00051
OG0000034	OP009387.1_00123	MT521409.1_00110
OG0000035	OP009387.1_00013	MT521409.1_00087
OG0000036	OP009387.1_00014	MT521409.1_00133
OG0000037	OP009387.1_00019	MT521409.1_00092
OG0000038	OP009387.1_00020	MT521409.1_00093
OG0000039	OP009387.1_00024	MT521409.1_00098
OG0000040	OP009387.1_00025	MT521409.1_00090
OG0000041	OP009387.1_00032	MT521409.1_00135
OG0000042	OP009387.1_00036	MT521409.1_00013
OG0000043	OP009387.1_00049	MT521409.1_00031
OG0000044	OP009387.1_00050	MT521409.1_00032
OG0000045	OP009387.1_00055	MT521409.1_00037
OG0000046	OP009387.1_00056	MT521409.1_00038
OG0000047	OP009387.1_00058	MT521409.1_00040
OG0000048	OP009387.1_00060	MT521409.1_00052
OG0000049	OP009387.1_00061	MT521409.1_00041
OG0000050	OP009387.1_00079	MT521409.1_00118
OG0000051	OP009387.1_00083	MT521409.1_00120
OG0000052	OP009387.1_00084	MT521409.1_00005
OG0000053	OP009387.1_00094	MT521409.1_00056
OG0000054	OP009387.1_00096	MT521409.1_00106
OG0000055	OP009387.1_00099	MT521409.1_00105
OG0000056	OP009387.1_00111	MT521409.1_00062
OG0000057	OP009387.1_00115	MT521409.1_00058
OG0000058	OP009387.1_00117	MT521409.1_00001
OG0000059	OP009387.1_00002	MT521409.1_00107
OG0000060	OP009387.1_00010	MT521409.1_00084
OG0000061	OP009387.1_00018	MT521409.1_00091
OG0000062	OP009387.1_00092	MT521409.1_00054
OG0000096	OP009387.1_00119	MT521409.1_00046
OG0000114	OP009387.1_00022	MT521409.1_00096
OG0000115	OP009387.1_00011	MT521409.1_00085
OG0000116	OP009387.1_00054	MT521409.1_00036
OG0000118	OP009387.1_00093	MT521409.1_00055
OG0000129	OP009387.1_00073	MT521409.1_00076
