Orthogroup	MG570132.1	MK098186.1
OG0000000	MG570132.1_00031	MK098186.1_00030
OG0000001	MG570132.1_00007, MG570132.1_00008	MK098186.1_00007
OG0000002	MG570132.1_00074	MK098186.1_00074
OG0000003	MG570132.1_00009	MK098186.1_00008
OG0000004	MG570132.1_00016	MK098186.1_00015
OG0000005	MG570132.1_00030	MK098186.1_00029
OG0000006	MG570132.1_00073	MK098186.1_00073
OG0000007	MG570132.1_00087	MK098186.1_00087
OG0000008	MG570132.1_00108	MK098186.1_00109
OG0000009	MG570132.1_00110	MK098186.1_00111
OG0000010	MG570132.1_00005	MK098186.1_00005
OG0000011	MG570132.1_00023	MK098186.1_00022
OG0000012	MG570132.1_00032	MK098186.1_00031
OG0000013	MG570132.1_00034	MK098186.1_00033
OG0000014	MG570132.1_00036	MK098186.1_00035
OG0000015	MG570132.1_00057	MK098186.1_00055
OG0000016	MG570132.1_00063	MK098186.1_00061
OG0000017	MG570132.1_00083	MK098186.1_00083
OG0000018	MG570132.1_00084	MK098186.1_00084
OG0000019	MG570132.1_00103	MK098186.1_00104
OG0000020	MG570132.1_00118	MK098186.1_00119
OG0000021	MG570132.1_00119	MK098186.1_00120
OG0000022	MG570132.1_00045	MK098186.1_00044
OG0000023	MG570132.1_00092	MK098186.1_00092
OG0000024	MG570132.1_00106	MK098186.1_00107
OG0000025	MG570132.1_00064	MK098186.1_00062
OG0000026	MG570132.1_00085	MK098186.1_00085
OG0000027	MG570132.1_00048	MK098186.1_00047
OG0000028	MG570132.1_00006	MK098186.1_00006
OG0000029	MG570132.1_00061	MK098186.1_00059
OG0000030	MG570132.1_00001	MK098186.1_00001
OG0000032	MG570132.1_00086	MK098186.1_00086
OG0000033	MG570132.1_00120	MK098186.1_00121
OG0000034	MG570132.1_00014	MK098186.1_00013
OG0000035	MG570132.1_00015	MK098186.1_00014
OG0000036	MG570132.1_00020	MK098186.1_00019
OG0000037	MG570132.1_00021	MK098186.1_00020
OG0000038	MG570132.1_00024	MK098186.1_00023
OG0000039	MG570132.1_00025	MK098186.1_00024
OG0000040	MG570132.1_00033	MK098186.1_00032
OG0000041	MG570132.1_00037	MK098186.1_00036
OG0000042	MG570132.1_00049	MK098186.1_00048
OG0000043	MG570132.1_00050	MK098186.1_00049
OG0000044	MG570132.1_00055	MK098186.1_00053
OG0000045	MG570132.1_00056	MK098186.1_00054
OG0000046	MG570132.1_00058	MK098186.1_00056
OG0000047	MG570132.1_00059	MK098186.1_00057
OG0000048	MG570132.1_00060	MK098186.1_00058
OG0000049	MG570132.1_00075	MK098186.1_00075
OG0000050	MG570132.1_00079	MK098186.1_00079
OG0000051	MG570132.1_00080	MK098186.1_00080
OG0000052	MG570132.1_00091	MK098186.1_00091
OG0000053	MG570132.1_00093	MK098186.1_00093
OG0000054	MG570132.1_00096	MK098186.1_00096
OG0000055	MG570132.1_00107	MK098186.1_00108
OG0000056	MG570132.1_00112	MK098186.1_00113
OG0000057	MG570132.1_00114	MK098186.1_00115
OG0000058	MG570132.1_00002	MK098186.1_00002
OG0000059	MG570132.1_00011	MK098186.1_00010
OG0000060	MG570132.1_00019	MK098186.1_00018
OG0000061	MG570132.1_00088	MK098186.1_00088
OG0000062	MG570132.1_00028	MK098186.1_00026
OG0000063	MG570132.1_00070	MK098186.1_00070
OG0000064	MG570132.1_00018	MK098186.1_00017
OG0000065	MG570132.1_00039	MK098186.1_00038
OG0000066	MG570132.1_00043	MK098186.1_00042
OG0000067	MG570132.1_00047	MK098186.1_00046
OG0000068	MG570132.1_00066	MK098186.1_00065
OG0000069	MG570132.1_00095	MK098186.1_00095
OG0000070	MG570132.1_00097	MK098186.1_00097
OG0000071	MG570132.1_00111	MK098186.1_00112
OG0000072	MG570132.1_00010	MK098186.1_00009
OG0000073	MG570132.1_00013	MK098186.1_00012
OG0000074	MG570132.1_00017	MK098186.1_00016
OG0000075	MG570132.1_00035	MK098186.1_00034
OG0000076	MG570132.1_00038	MK098186.1_00037
OG0000077	MG570132.1_00041	MK098186.1_00040
OG0000078	MG570132.1_00042	MK098186.1_00041
OG0000079	MG570132.1_00046	MK098186.1_00045
OG0000080	MG570132.1_00051	MK098186.1_00050
OG0000081	MG570132.1_00052	MK098186.1_00051
OG0000082	MG570132.1_00053	MK098186.1_00052
OG0000083	MG570132.1_00062	MK098186.1_00060
OG0000084	MG570132.1_00065	MK098186.1_00063
OG0000085	MG570132.1_00067	MK098186.1_00066
OG0000086	MG570132.1_00068	MK098186.1_00067
OG0000087	MG570132.1_00071	MK098186.1_00071
OG0000088	MG570132.1_00072	MK098186.1_00072
OG0000089	MG570132.1_00081	MK098186.1_00081
OG0000090	MG570132.1_00082	MK098186.1_00082
OG0000091	MG570132.1_00094	MK098186.1_00094
OG0000092	MG570132.1_00098	MK098186.1_00098
OG0000093	MG570132.1_00101	MK098186.1_00102
OG0000094	MG570132.1_00104	MK098186.1_00105
OG0000095	MG570132.1_00105	MK098186.1_00106
OG0000096	MG570132.1_00116	MK098186.1_00117
OG0000097	MG570132.1_00003	MK098186.1_00003
OG0000098	MG570132.1_00004	MK098186.1_00004
OG0000099	MG570132.1_00040	MK098186.1_00039
OG0000100	MG570132.1_00044	MK098186.1_00043
OG0000101	MG570132.1_00069	MK098186.1_00068
OG0000102	MG570132.1_00076	MK098186.1_00076
OG0000103	MG570132.1_00099	MK098186.1_00099
OG0000104	MG570132.1_00102	MK098186.1_00103
OG0000105	MG570132.1_00113	MK098186.1_00114
OG0000106	MG570132.1_00029	MK098186.1_00028
OG0000107	MG570132.1_00100	MK098186.1_00100
OG0000108	MG570132.1_00117	MK098186.1_00118
OG0000110	MG570132.1_00115	MK098186.1_00116
OG0000111	MG570132.1_00090	MK098186.1_00090
OG0000112	MG570132.1_00077	MK098186.1_00077
OG0000114	MG570132.1_00012	MK098186.1_00011
OG0000117	MG570132.1_00089	MK098186.1_00089
OG0000119	MG570132.1_00109	MK098186.1_00110
OG0000126	MG570132.1_00026	MK098186.1_00025
