Orthogroup	MG570132.1	AY521625.1
OG0000000	MG570132.1_00031	AY521625.1_00091
OG0000001	MG570132.1_00007, MG570132.1_00008	AY521625.1_00064
OG0000003	MG570132.1_00009	AY521625.1_00077
OG0000004	MG570132.1_00016	AY521625.1_00130
OG0000005	MG570132.1_00030	AY521625.1_00085
OG0000006	MG570132.1_00073	AY521625.1_00051
OG0000007	MG570132.1_00087	AY521625.1_00016
OG0000008	MG570132.1_00108	AY521625.1_00069, AY521625.1_00070
OG0000009	MG570132.1_00110	AY521625.1_00142
OG0000010	MG570132.1_00005	AY521625.1_00054
OG0000011	MG570132.1_00023	AY521625.1_00110
OG0000012	MG570132.1_00032	AY521625.1_00074
OG0000013	MG570132.1_00034	AY521625.1_00059
OG0000014	MG570132.1_00036	AY521625.1_00065
OG0000015	MG570132.1_00057	AY521625.1_00048
OG0000016	MG570132.1_00063	AY521625.1_00053
OG0000017	MG570132.1_00083	AY521625.1_00086
OG0000018	MG570132.1_00084	AY521625.1_00073
OG0000019	MG570132.1_00103	AY521625.1_00047
OG0000020	MG570132.1_00118	AY521625.1_00115
OG0000021	MG570132.1_00119	AY521625.1_00035
OG0000022	MG570132.1_00045	AY521625.1_00062
OG0000023	MG570132.1_00092	AY521625.1_00100
OG0000024	MG570132.1_00106	AY521625.1_00060
OG0000026	MG570132.1_00085	AY521625.1_00022
OG0000030	MG570132.1_00001	AY521625.1_00004
