Orthogroup	MG570132.1	MF599468.1
OG0000000	MG570132.1_00031	MF599468.1_00057, MF599468.1_00056
OG0000001	MG570132.1_00007, MG570132.1_00008	MF599468.1_00152
OG0000003	MG570132.1_00009	MF599468.1_00163
OG0000004	MG570132.1_00016	MF599468.1_00011
OG0000005	MG570132.1_00030	MF599468.1_00030
OG0000006	MG570132.1_00073	MF599468.1_00010
OG0000007	MG570132.1_00087	MF599468.1_00174
OG0000008	MG570132.1_00108	MF599468.1_00092
OG0000009	MG570132.1_00110	MF599468.1_00075
OG0000010	MG570132.1_00005	MF599468.1_00116
OG0000011	MG570132.1_00023	MF599468.1_00112
OG0000012	MG570132.1_00032	MF599468.1_00090
OG0000013	MG570132.1_00034	MF599468.1_00035
OG0000014	MG570132.1_00036	MF599468.1_00071
OG0000015	MG570132.1_00057	MF599468.1_00033
OG0000016	MG570132.1_00063	MF599468.1_00149
OG0000017	MG570132.1_00083	MF599468.1_00106
OG0000018	MG570132.1_00084	MF599468.1_00046
OG0000019	MG570132.1_00103	MF599468.1_00117
OG0000020	MG570132.1_00118	MF599468.1_00122
OG0000021	MG570132.1_00119	MF599468.1_00009
OG0000022	MG570132.1_00045	MF599468.1_00171
OG0000023	MG570132.1_00092	MF599468.1_00154
OG0000024	MG570132.1_00106	MF599468.1_00039
OG0000046	MG570132.1_00058	MF599468.1_00013
OG0000069	MG570132.1_00095	MF599468.1_00131
