Orthogroup	MG570132.1	KF938901.1
OG0000000	MG570132.1_00031	KF938901.1_00126
OG0000001	MG570132.1_00007, MG570132.1_00008	KF938901.1_00044
OG0000003	MG570132.1_00009	KF938901.1_00080
OG0000004	MG570132.1_00016	KF938901.1_00005
OG0000005	MG570132.1_00030	KF938901.1_00067
OG0000006	MG570132.1_00073	KF938901.1_00072
OG0000007	MG570132.1_00087	KF938901.1_00053
OG0000008	MG570132.1_00108	KF938901.1_00043
OG0000009	MG570132.1_00110	KF938901.1_00114
OG0000010	MG570132.1_00005	KF938901.1_00124
OG0000011	MG570132.1_00023	KF938901.1_00054
OG0000012	MG570132.1_00032	KF938901.1_00047
OG0000013	MG570132.1_00034	KF938901.1_00123
OG0000014	MG570132.1_00036	KF938901.1_00023
OG0000015	MG570132.1_00057	KF938901.1_00060
OG0000016	MG570132.1_00063	KF938901.1_00092
OG0000017	MG570132.1_00083	KF938901.1_00012
OG0000018	MG570132.1_00084	KF938901.1_00046
OG0000019	MG570132.1_00103	KF938901.1_00025
OG0000020	MG570132.1_00118	KF938901.1_00074
OG0000021	MG570132.1_00119	KF938901.1_00095
OG0000022	MG570132.1_00045	KF938901.1_00031
OG0000025	MG570132.1_00064	KF938901.1_00093
