Orthogroup	L63545.1	MN432490.1
OG0000000	L63545.1_00007	MN432490.1_00032
OG0000001	L63545.1_00079	MN432490.1_00007
OG0000003	L63545.1_00035	MN432490.1_00008
OG0000004	L63545.1_00076	MN432490.1_00015
OG0000005	L63545.1_00108	MN432490.1_00031
OG0000006	L63545.1_00093	MN432490.1_00078
OG0000007	L63545.1_00090	MN432490.1_00092
OG0000008	L63545.1_00001	MN432490.1_00113
OG0000009	L63545.1_00024	MN432490.1_00114
OG0000010	L63545.1_00043	MN432490.1_00005
OG0000011	L63545.1_00071	MN432490.1_00023
OG0000012	L63545.1_00098	MN432490.1_00033
OG0000013	L63545.1_00072	MN432490.1_00035
OG0000014	L63545.1_00013	MN432490.1_00037
OG0000015	L63545.1_00004	MN432490.1_00058
OG0000016	L63545.1_00069	MN432490.1_00064
OG0000017	L63545.1_00009	MN432490.1_00088
OG0000018	L63545.1_00073	MN432490.1_00089
OG0000019	L63545.1_00068	MN432490.1_00108
OG0000020	L63545.1_00030	MN432490.1_00122
OG0000021	L63545.1_00110	MN432490.1_00123
OG0000022	L63545.1_00054	MN432490.1_00046
OG0000023	L63545.1_00056	MN432490.1_00097
OG0000024	L63545.1_00002	MN432490.1_00111
OG0000026	L63545.1_00058	MN432490.1_00090
OG0000027	L63545.1_00003	MN432490.1_00049
