Orthogroup	L63545.1	AY894343.1
OG0000000	L63545.1_00007	AY894343.1_00029
OG0000001	L63545.1_00079	AY894343.1_00007
OG0000003	L63545.1_00035	AY894343.1_00008
OG0000004	L63545.1_00076	AY894343.1_00015
OG0000005	L63545.1_00108	AY894343.1_00028
OG0000006	L63545.1_00093	AY894343.1_00076
OG0000007	L63545.1_00090	AY894343.1_00090
OG0000008	L63545.1_00001	AY894343.1_00113
OG0000009	L63545.1_00024	AY894343.1_00115
OG0000010	L63545.1_00043	AY894343.1_00005
OG0000011	L63545.1_00071	AY894343.1_00021
OG0000012	L63545.1_00098	AY894343.1_00030
OG0000013	L63545.1_00072	AY894343.1_00032
OG0000014	L63545.1_00013	AY894343.1_00034
OG0000015	L63545.1_00004	AY894343.1_00056
OG0000016	L63545.1_00069	AY894343.1_00063
OG0000017	L63545.1_00009	AY894343.1_00086
OG0000018	L63545.1_00073	AY894343.1_00087
OG0000019	L63545.1_00068	AY894343.1_00108
OG0000020	L63545.1_00030	AY894343.1_00123
OG0000021	L63545.1_00110	AY894343.1_00124
OG0000022	L63545.1_00054	AY894343.1_00043
OG0000023	L63545.1_00056	AY894343.1_00096
OG0000024	L63545.1_00002	AY894343.1_00111
OG0000026	L63545.1_00058	AY894343.1_00088
OG0000027	L63545.1_00003	AY894343.1_00046
